Code Range,CCS,CCS Label,l,r
0001M-0001M,234,Pathology,0001M,0001M
0001T-0001T,52,"Aortic resection, replacement or anastomosis",0001T,0001T
0001U-0002M,234,Pathology,0001U,0002M
0002T-0002T,52,"Aortic resection, replacement or anastomosis",0002T,0002T
0002U-0002U,233,Laboratory - Chemistry and Hematology,0002U,0002U
0003M-0003M,234,Pathology,0003M,0003M
0003T-0003T,130,"Other diagnostic procedures, female organs",0003T,0003T
0003U-0004M,234,Pathology,0003U,0004M
0004U-0004U,206,"Microscopic examination (bacterial smear, culture, toxicology)",0004U,0004U
0005M-0005M,234,Pathology,0005M,0005M
0005T-0005T,59,Other OR procedures on vessels of head and neck,0005T,0005T
0005U-0006M,234,Pathology,0005U,0006M
0006T-0006T,59,Other OR procedures on vessels of head and neck,0006T,0006T
0006U-0006U,235,Other Laboratory,0006U,0006U
0007M-0007M,234,Pathology,0007M,0007M
0007T-0007T,211,Therapeutic radiology,0007T,0007T
0007U-0007U,235,Other Laboratory,0007U,0007U
0008M-0008M,234,Pathology,0008M,0008M
0008T-0008T,93,Other non-OR upper GI therapeutic procedures,0008T,0008T
0008U-0008U,206,"Microscopic examination (bacterial smear, culture, toxicology)",0008U,0008U
0009M-0009M,234,Pathology,0009M,0009M
0009T-0009T,125,Other excision of cervix and uterus,0009T,0009T
0009U-0009U,234,Pathology,0009U,0009U
00100-00104,232,Anesthesia,100,104
0010M-0010M,234,Pathology,0010M,0010M
0010T-0010T,40,Other diagnostic procedures of respiratory tract and mediastinum,0010T,0010T
0010U-0011M,234,Pathology,0010U,0011M
0011U-0011U,235,Other Laboratory,0011U,0011U
00120-00126,232,Anesthesia,120,126
0012M-0012M,234,Pathology,0012M,0012M
0012T-0012T,162,Other OR therapeutic procedures on joints,0012T,0012T
0012U-0013M,234,Pathology,0012U,0013M
0013T-0013T,162,Other OR therapeutic procedures on joints,0013T,0013T
0013U-0013U,234,Pathology,0013U,0013U
00140-00148,232,Anesthesia,140,148
0014T-0014T,176,Other organ transplantation,0014T,0014T
0014U-0015U,234,Pathology,0014U,0015U
00160-00164,232,Anesthesia,160,164
0016T-0016T,17,Destruction of lesion of retina and choroid,0016T,0016T
0016U-0016U,234,Pathology,0016U,0016U
00170-00176,232,Anesthesia,170,176
0017T-0017T,17,Destruction of lesion of retina and choroid,0017T,0017T
0017U-0017U,234,Pathology,0017U,0017U
0018T-0018T,8,Other non-OR or closed therapeutic nervous system procedures,0018T,0018T
0018U-0018U,234,Pathology,0018U,0018U
00190-00192,232,Anesthesia,190,192
0019T-0019T,230,"Extracorporeal shock wave, other than urinary",0019T,0019T
0019U-0019U,234,Pathology,0019U,0019U
0020T-0020T,230,"Extracorporeal shock wave, other than urinary",0020T,0020T
0020U-0020U,235,Other Laboratory,0020U,0020U
00210-00218,232,Anesthesia,210,218
0021T-0021T,139,Fetal monitoring,0021T,0021T
0021U-0021U,234,Pathology,0021U,0021U
00220-00222,232,Anesthesia,220,222
