code,cui
1,C0810093
2,C0810094
3,C0810095
4,C0553794
5,C0810096
6,C0196573
7,C0847448
8,C0810098
9,C0810099
10,C0810100
11,C0810101
12,C0810102
14,C0810103
15,C0395504
16,C0810105
17,C0176260
18,C2937355
19,C0810106
20,C0810107
21,C0810108
25,C0810109
26,C0810110
27,C0188972
28,C0035467
31,C0810113
32,C0810114
33,C0810115
34,C0810116
35,C0810117
36,C0810118
37,C0810119
38,C0810120
39,C0810121
40,C0810122
41,C0810123
43,C0190065
47,C0810127
49,C0810129
50,C0810130
51,C0810131
52,C0810132
53,C0392835
54,C0810133
56,C0810135
57,C0810136
58,C0019004
59,C0810137
60,C0810138
61,C0810139
62,C0810140
63,C0810141
65,C0005954
65,C0194014
67,C0810143
68,C0810144
69,C0192389
70,C0192674
71,C0810146
72,C0810147
73,C0810148
74,C0810149
77,C0810151
79,C0810153
81,C0176866
82,C0810154
84,C0008321
85,C1970975
86,C0176967
87,C0031150
90,C0810156
92,C0176786
93,C0810158
94,C0810159
95,C0810160
96,C0810161
97,C0847122
98,C0810163
99,C0810164
100,C0810165
101,C0810166
103,C0176984
104,C0810167
106,C0810168
107,C0810169
109,C0810170
110,C0847752
111,C0810172
112,C0810173
116,C0810174
117,C0810175
118,C0810176
119,C0810177
120,C0175608
121,C0520483
122,C0195632
123,C0175610
124,C0810179
125,C0810180
126,C0392535
129,C0810183
130,C0810184
131,C0810185
132,C0810186
133,C0014586
135,C0161937
136,C0810187
137,C0177279
140,C0810189
141,C0810190
142,C0185210
143,C0810192
144,C0810193
145,C0810194
146,C0810195
147,C0810196
148,C0810197
149,C0003904
150,C0177507
151,C0187901
152,C0086511
153,C0810198
154,C0810199
155,C0204854
156,C0810200
157,C0337308
158,C3278509
159,C0810201
160,C0810202
161,C0810203
162,C0810204
163,C0810205
164,C0810206
165,C0810207
166,C0810208
167,C0024881
167,C0191849
167,C0024886
167,C1546422
168,C0810209
169,C0810210
170,C0191322
171,C0177703
173,C0177695
174,C0810211
175,C0810212
176,C0810213
177,C0810214
180,C0177779
183,C0202784
185,C0810215
186,C0810216
190,C0810217
191,C0810218
192,C0011931
193,C0810219
194,C0581628
195,C0203407
196,C0203474
197,C0177800
199,C0013819
201,C1384495
202,C0013798
203,C0810221
204,C0810222
206,C0810223
207,C0203668
208,C0810224
209,C0177994
210,C0177999
211,C1522449
212,C0203886
213,C0810225
215,C0810227
216,C0810228
217,C0029728
221,C0085678
225,C0013778
226,C0412755
227,C0810232
228,C0810233
229,C0876943
230,C0810235
232,C0002903
232,C0002912
232,C4049933
232,C0278134
234,C0919386
