cui,test
C0370247,232.0
C0370247,232.0
C0370247,232.0
C0370247,232.0
C0370247,232.0
C4731931,173.0
C4731932,173.0
C4731932,173.0
C4731931,173.0
C4731931,173.0
C4731935,173.0
C4731936,173.0
C4731936,173.0
C4731935,173.0
C4731935,173.0
C4731937,173.0
C4731938,173.0
C4731938,173.0
C4731937,173.0
C4731937,173.0
C4731940,173.0
C4731941,173.0
C4731942,173.0
C4731940,173.0
C4731940,173.0
C4731943,173.0
C4731944,173.0
C4731945,173.0
C4731943,173.0
C4731943,173.0
C4731947,173.0
C4722654,173.0
C4722654,173.0
C4731947,173.0
C4731947,173.0
C4731948,173.0
C4731949,173.0
C4731949,173.0
C4731948,173.0
C4731948,173.0
C4731951,173.0
C4731952,173.0
C4731952,173.0
C4731951,173.0
C4731951,173.0
C4731953,173.0
C4731954,173.0
C4731954,173.0
C4731953,173.0
C4731953,173.0
C0973250,173.0
C4731933,173.0
C4731933,173.0
C0973250,173.0
C0973250,173.0
C3702443,174.0
C3702443,174.0
C3702443,174.0
C3704196,174.0
C3702443,174.0
C3702443,174.0
C4051910,173.0
C4052022,173.0
C4052361,173.0
C4051910,173.0
C4051910,173.0
C4051909,173.0
C4052021,173.0
C4052360,173.0
C4051909,173.0
C4051909,173.0
C0191345,168.0
C0191345,168.0
C0191345,168.0
C3704197,168.0
C3704207,168.0
C3704199,168.0
C3704204,168.0
C3704200,168.0
C3704206,168.0
C3704201,168.0
C3704198,168.0
C3704202,168.0
C3704205,168.0
C3704203,168.0
C0191345,168.0
C0191345,168.0
C0370367,168.0
C0344096,168.0
C0562025,168.0
C3468785,168.0
C3704222,168.0
C0191288,168.0
C3704210,168.0
C3704219,168.0
C3704209,168.0
C3704217,168.0
C0370367,168.0
C2733053,168.0
C3704211,168.0
C3704212,168.0
C3704213,168.0
C3704216,168.0
C3709290,168.0
C3704215,168.0
C3704218,168.0
C3704208,168.0
C3704214,168.0
C0191704,168.0
C0191293,168.0
C3704221,168.0
C3704220,168.0
C3704223,168.0
C0370367,168.0
C0370367,168.0
C0370368,168.0
C3511850,168.0
C0562025,168.0
C3468785,168.0
C0191288,168.0
C3704229,168.0
C3704231,168.0
C3704208,168.0
C2733053,168.0
C3704217,168.0
C0191294,168.0
C3704225,168.0
C0191705,168.0
C3704233,168.0
C3704224,168.0
C3704228,168.0
C0191299,168.0
C3704230,168.0
C3704232,168.0
C3704218,168.0
C0370368,168.0
C3704226,168.0
C3704227,168.0
C3704234,168.0
C3704209,168.0
C0370368,168.0
C0370368,168.0
C0191636,174.0
C3511851,174.0
C2048553,174.0
C0191636,174.0
C0191636,174.0
C0191636,174.0
C0191637,174.0
C3511851,174.0
C2048553,174.0
C0191637,174.0
C0191637,174.0
C0191637,174.0
C0191374,174.0
C3702608,174.0
C0191374,174.0
C3517855,174.0
C0191374,174.0
C0191374,174.0
C0370369,174.0
C3702608,174.0
C0370369,174.0
C3517855,174.0
C0370369,174.0
C0370369,174.0
C0370370,168.0
C3511853,168.0
C2733485,168.0
C3517857,168.0
C3517856,168.0
C0370370,168.0
C0370370,168.0
C0370371,170.0
