cui	code
C0520243	22
C0520244	23
C0520245	24
C0520246	25
C0520247	26
C0918261	27
C0520248	32
C0199175	33
C0520249	47
C0520250	50
C0520251	51
C0520252	52
C0520253	53
C0520254	54
C0520255	55
C0520256	56
C0520257	57
C0520258	58
C0520259	59
C0520260	62
C1144782	63
C0520261	66
C0695011	73
C0695012	74
C0520262	76
C3702554	77
C0520264	78
C0520265	79
C0520266	80
C0520267	81
C0520268	82
C0520269	90
C0812593	91
C1964223	92
C4291923	95
C3871232	96
C4523774	97
C0520270	99
C0370247	100
C0370247	100
C0370247	100
C0370247	100
C0370247	100
C0198874	102
C3511653	102
C0198874	102
C0198874	102
C0198874	102
C0370248	103
C3511654	103
C0370248	103
C0370248	103
C0370248	103
C0198856	104
C0198856	104
C0198856	104
C0198856	104
C0198856	104
C0370249	120
C3511655	120
C3517647	120
C3517649	120
C3517648	120
C3869391	120
C0198863	120
C3869392	120
C0370249	120
C0370249	120
C0489907	124
C3511656	124
C0198864	124
C3869390	124
C0489907	124
C0489907	124
C0489908	126
C3511657	126
C0198866	126
C0489908	126
C0489908	126
C0198857	140
C0198857	140
C0198857	140
C0198857	140
C0198857	140
C0198860	142
C0198860	142
C0198860	142
C0198860	142
C0198860	142
C0198861	144
C0198861	144
C0198861	144
C0198861	144
C0198861	144
C0198862	145
C3511658	145
C3517650	145
C0198862	145
C0198862	145
C0198859	147
C0198859	147
C0198859	147
C0198859	147
C0198859	147
C0198858	148
C3511659	148
C0198858	148
C0198858	148
C0198858	148
C0198869	160
C2065616	160
C0198869	160
C0198869	160
C0198869	160
C0198871	162
C3511660	162
C0198871	162
C0198871	162
C0198871	162
C0370250	164
C2065618	164
C0370250	164
C0370250	164
C0370250	164
C0370251	170
C0370251	170
C0370251	170
C0198872	170
C0370251	170
C0370251	170
C0370252	172
C3527447	172
C2065620	172
C0370252	172
C0370252	172
C0370253	174
C3511661	174
C0198875	174
C0370253	174
C0370253	174
C0370254	176
C3511662	176
C0198873	176
C0370254	176
C0370254	176
C0198844	190
C3511663	190
C0198844	190
C3517653	190
C0198844	190
C0198844	190
C0198845	192
C3511664	192
C3517654	192
C0198845	192
C3869389	192
C0198845	192
C0198845	192
C0198847	210
C3511665	210
C0198847	210
C0198847	210
C0198847	210
C2366748	211
C3511666	211
C3517655	211
C3517656	211
C2366748	211
C2366748	211
C0198851	212
C3511667	212
C0198851	212
C0198851	212
C0198851	212
C0198850	214
C3511668	214
C3869388	214
C0198850	214
C0198850	214
C0198850	214
C0370255	215
C3511669	215
C3517657	215
C3517658	215
C3869386	215
C3869387	215
C0370255	215
C0370255	215
C0198849	216
C3511670	216
C0198849	216
C0198849	216
C0198849	216
C0198848	218
C3511671	218
C0198848	218
C0198848	218
C0198848	218
C0198855	220
C3511672	220
C3869385	220
C0198855	220
C0198855	220
C0370256	222
C3511673	222
C2065623	222
C0370256	222
C0370256	222
C0370257	300
C3511674	300
C3869382	300
C3869383	300
C3869378	300
C3869384	300
C3869381	300
C3869379	300
C3869380	300
C3869377	300
C3869376	300
C3869375	300
C0370257	300
C0370257	300
C0370258	320
C3511675	320
C3517662	320
C3517664	320
C3517661	320
C3517665	320
C3517663	320
C2065638	320
C0370258	320
C0370258	320
C0370259	322
C0198881	322
C0198881	322
C0370259	322
C0370259	322
C1144597	326
C3702573	326
C3517666	326
C3517662	326
C3517665	326
C1144597	326
C1144597	326
C0198883	350
C0198883	350
C0198883	350
C0198883	350
C0198883	350
C0198884	352
C0198884	352
C0198884	352
C0198884	352
C0198884	352
C0370260	400
C3511676	400
C0370260	400
C3869374	400
C3869373	400
C3869372	400
C0370260	400
C0370260	400
C0370261	402
C0198898	402
C0198898	402
C3869371	402
C0198900	402
C0198899	402
C0370261	402
C0370261	402
C0370262	404
C3511677	404
C0198901	404
C0198902	404
C0370262	404
C0370262	404
C0370263	406
C3511678	406
C3517669	406
C3517668	406
C0370263	406
C0370263	406
C0370264	410
C3511679	410
C0198904	410
C0370264	410
C0370264	410
C0370266	450
C0370266	450
C0198908	450
C3869370	450
C3869369	450
C0370266	450
C0370266	450
C0198914	454
C3511681	454
C0198914	454
C0198914	454
C0198914	454
C0198907	470
C3511682	470
C0198907	470
C0198907	470
C0198907	470
