l,r,CCS
0001M,0001M,234
0001T,0001T,52
0001U,0002M,234
0002T,0002T,52
0002U,0002U,233
0003M,0003M,234
0003T,0003T,130
0003U,0004M,234
0004U,0004U,206
0005M,0005M,234
0005T,0005T,59
0005U,0006M,234
0006T,0006T,59
0006U,0006U,235
0007M,0007M,234
0007T,0007T,211
0007U,0007U,235
0008M,0008M,234
0008T,0008T,93
0008U,0008U,206
0009M,0009M,234
0009T,0009T,125
0009U,0009U,234
0010M,0010M,234
0010T,0010T,40
0010U,0011M,234
0011U,0011U,235
0012M,0012M,234
0012T,0012T,162
0012U,0013M,234
0013T,0013T,162
0013U,0013U,234
0014T,0014T,176
0014U,0015U,234
0016T,0016T,17
0016U,0016U,234
0017T,0017T,17
0017U,0017U,234
0018T,0018T,8
0018U,0018U,234
0019T,0019T,230
0019U,0019U,234
0020T,0020T,230
0020U,0020U,235
0021T,0021T,139
0021U,0021U,234
0022U,0022U,234
0023T,0023T,206
0023U,0023U,234
0024T,0024T,49
0024U,0024U,235
0025T,0025T,220
0025U,0025U,235
0026T,0026T,233
0026U,0026U,234
0027T,0027T,164
0027U,0027U,234
0028T,0028T,226
0028U,0028U,234
0029T,0029T,111
0029U,0029U,234
0030T,0030T,235
0030U,0030U,234
0031T,0031T,130
0031U,0031U,234
0032T,0032T,130
0032U,0032U,234
0033T,0033T,52
0033U,0033U,234
0034T,0034T,52
0034U,0034U,234
0035T,0035T,52
0035U,0035U,234
0036T,0036T,52
0036U,0036U,234
0037T,0037T,59
0037U,0037U,234
0038T,0038T,231
0038U,0038U,233
0039T,0039T,231
0039U,0039U,235
0040T,0040T,231
0040U,0040U,234
0041T,0041U,206
0042T,0042T,180
0042U,0042U,206
0043T,0043T,40
0043U,0043U,206
0044T,0044T,173
0044U,0044U,206
0045T,0045T,174
0045U,0045U,234
0046T,0046T,165
0046U,0046U,234
0047T,0047T,165
0047U,0047U,234
0048T,0048T,50
0048U,0048U,234
0049T,0049T,50
0049U,0049U,234
0050T,0050T,50
0050U,0050U,234
0051T,0051T,49
0051U,0051U,235
0052T,0052T,49
0052U,0052U,233
0053T,0053T,49
0053U,0053U,234
0054T,0054T,226
0054U,0054U,235
0055T,0055T,226
0055U,0055U,234
0056T,0056T,226
0056U,0056U,234
0057T,0057T,70
0057U,0057U,234
0058T,0059U,235
0060T,0060T,165
0060U,0060U,234
0061T,0061T,175
0061U,0061U,233
0062T,0062T,9
0062U,0062U,234
0063T,0063T,9
0063U,0063U,234
0064T,0064T,40
0064U,0064U,235
0065T,0065T,18
0065U,0065U,235
0066T,0066T,76
0066U,0066U,233
0067T,0067T,76
0067U,0067U,234
0068T,0068T,202
0068U,0068U,206
0069T,0069T,202
0069U,0069U,234
0070T,0070T,202
0070U,0070U,234
0071T,0071T,131
0071U,0071U,234
0072T,0072T,131
0072U,0072U,234
0073T,0073T,211
0073U,0073U,234
0074T,0074T,227
0074U,0074U,234
0075T,0075T,59
0075U,0075U,234
0076T,0076T,59
0076U,0076U,234
0077T,0077T,7
0077U,0077U,233
0078T,0078T,61
0078U,0078U,234
0079T,0079T,61
0079U,0079U,234
0080T,0080T,61
0080U,0080U,234
0081T,0081T,61
0081U,0081U,234
0082T,0082T,211
0082U,0082U,235
0083T,0083T,211
0083U,0083U,234
0084T,0084T,109
0085T,0085T,62
0086T,0086T,62
0087T,0087T,206
0088T,0088T,32
0089T,0089T,227
0090T,0090T,154
0091T,0091T,154
0092T,0092T,154
0093T,0093T,162
0094T,0094T,162
0095T,0095T,162
0096T,0098T,154
0099T,0099T,19
0100T,0100T,20
0101T,0101T,163
0102T,0102T,162
0103T,0103T,233
