CCS,l,r
232,100,104
232,120,126
232,140,148
232,160,164
232,170,176
232,190,192
232,210,218
232,220,222
232,300,300
232,320,326
232,350,352
232,400,406
232,410,410
232,420,420
232,450,454
232,470,474
232,500,500
232,520,529
232,530,539
232,540,548
232,550,550
232,560,567
232,580,580
232,600,604
232,620,626
232,630,635
232,640,640
232,670,670
232,700,702
232,730,732
232,740,740
232,750,756
232,770,770
232,790,797
232,800,806
232,810,813
232,820,820
232,830,836
232,840,848
232,850,857
232,860,869
232,870,870
230,872,873
232,880,884
232,900,908
232,910,918
232,920,928
232,930,938
232,940,948
232,950,952
137,955,955
232,1000,1000
232,1110,1112
232,1120,1150
232,1160,1160
232,1170,1173
232,1180,1202
232,1210,1234
232,1240,1240
232,1250,1260
232,1270,1300
232,1320,1320
232,1340,1340
232,1360,1360
232,1380,1404
232,1420,1420
232,1430,1432
232,1440,1444
232,1460,1464
232,1470,1474
232,1480,1486
232,1490,1490
232,1500,1502
232,1520,1522
232,1600,1600
232,1610,1610
232,1620,1622
232,1630,1638
232,1650,1656
232,1670,1670
232,1680,1682
232,1700,1700
232,1710,1716
232,1730,1732
232,1740,1744
232,1756,1758
232,1760,1760
232,1770,1772
232,1780,1784
232,1800,1800
232,1810,1810
232,1820,1829
232,1830,1832
232,1840,1844
232,1850,1852
232,1860,1860
232,1900,1908
232,1910,1918
232,1920,1926
232,1930,1936
232,1951,1958
232,1960,1969
232,1990,1999
168,10000,10000
173,10004,10022
174,10030,10030
173,10035,10036
168,10040,10061
174,10080,10121
168,10140,10141
170,10160,10160
168,10180,10180
169,11000,11047
170,11050,11062
173,11100,11107
170,11200,11646
174,11700,11732
168,11740,11740
174,11750,11752
173,11755,11755
175,11760,11762
174,11765,11765
175,11770,11772
231,11900,11901
174,11920,11954
175,11960,11971
231,11975,11975
174,11976,11976
231,11977,11981
174,11982,11982
231,11983,11983
171,12001,13133
19,13150,13153
171,13160,13300
172,14000,15738
175,15740,15740
9,15750,15750
172,15755,15776
175,15777,15787
174,15788,15793
175,15810,15819
19,15820,15823
175,15824,15839
172,15840,15845
175,15847,15847
231,15850,15851
214,15852,15852
175,15860,15879
142,15920,15922
170,15931,15931
142,15933,15933
170,15934,15934
142,15935,15935
170,15936,15936
142,15937,15937
170,15940,15940
142,15941,15941
170,15944,15944
142,15945,15946
170,15950,15950
142,15951,15951
170,15952,15952
142,15953,15953
170,15956,15956
142,15958,15958
170,15999,15999
214,16000,16000
169,16010,16030
175,16035,16036
169,16040,16042
