cui,code
C0002388,29
C0002388,29
C0002393,29
C0002393,29
C0002500,235
C0002500,235
C0002500,235
C0002500,235
C0002500,235
C0002500,235
C0002500,235
C0002500,235
C0002500,235
C0002500,235
C0002627,138
C0002627,138
C0002627,138
C0002627,138
C0002627,138
C0002627,138
C0002627,138
C0002627,138
C0002691,157
C0002691,157
C0002691,157
C0002691,157
C0002691,157
C0002691,157
C0002691,157
C0002691,157
C0002692,157
C0002692,157
C0002692,157
C0002692,157
C0002692,157
C0002692,157
C0002692,157
C0002692,157
C0002692,157
C0002692,157
C0002866,233
C0002866,233
C0002866,233
C0002866,233
C0002866,233
C0002866,233
C0002866,233
C0002866,233
C0002866,233
C0002866,233
C0002903,232
C0002903,232
C0002903,232
C0002903,232
C0003611,80
C0003611,80
C0003611,80
C0003611,80
C0003611,80
C0003611,80
C0003611,80
C0003611,80
C0003611,80
C0003611,80
C0003611,80
C0003611,80
C0003611,80
C0003611,80
C0003612,80
C0003612,80
C0003612,80
C0003612,80
C0003612,80
C0003612,80
C0003904,149
C0003904,149
C0003904,149
C0003904,149
C0003904,149
C0003904,149
C0003904,149
C0003904,149
C0004398,234
C0004398,234
C0005729,233
C0005729,233
C0005729,233
C0005729,233
C0005729,233
C0005729,233
C0005729,233
C0005729,233
C0005729,233
C0005729,233
C0005800,205
C0005800,205
C0005800,205
C0005800,205
C0005800,205
C0005800,205
C0005800,205
C0005800,205
C0005841,222
C0005841,222
C0005843,141
C0005843,141
C0005843,141
C0005843,141
C0005843,141
C0005843,141
C0005843,141
C0005843,141
C0005843,141
C0005843,141
C0005844,235
C0005844,235
C0005845,233
C0005845,233
C0005845,233
C0005845,233
C0005845,233
C0005845,233
C0005845,233
C0005845,233
C0005845,233
C0005845,233
C0005845,233
C0005845,233
C0005845,233
C0005845,233
C0005857,231
C0005857,231
C0005954,65
C0005954,65
C0005954,65
C0005954,65
C0005954,65
C0005954,65
C0005976,161
C0005976,161
C0005976,161
C0005976,161
C0006101,233
C0006101,233
C0006101,233
C0006101,233
C0006101,233
C0006101,233
C0006101,233
C0006101,233
C0006101,233
C0006101,233
C0006778,220
C0006778,220
C0007203,63
C0007203,63
C0007203,63
C0007203,63
C0007203,63
C0007203,63
C0007203,63
C0007203,63
C0007876,134
C0007876,134
C0007876,134
C0007876,134
C0007979,174
C0007979,174
C0008320,84
C0008320,84
C0008320,84
C0008320,84
C0008320,84
C0008320,84
C0008320,84
C0008320,84
C0008320,84
C0008320,84
C0008321,84
C0008321,84
C0008321,84
C0008321,84
C0008321,84
C0008321,84
C0008321,84
C0008321,84
C0008322,84
C0008322,84
C0008322,84
C0008322,84
C0008322,84
C0008322,84
C0008322,84
C0008322,84
C0008323,84
C0008323,84
C0008323,84
C0008323,84
C0008323,84
C0008323,84
C0008359,228
C0008359,228
C0008509,139
C0008509,139
C0008509,139
C0008509,139
C0008509,139
C0008509,139
C0008509,139
C0008509,139
C0008797,226
C0008797,226
C0008797,226
C0008797,226
C0009069,233
C0009069,233
C0009069,233
C0009069,233
C0009069,233
C0009069,233
C0009069,233
C0009069,233
C0009069,233
C0009069,233
C0009410,72
C0009410,72
C0009411,72
C0009411,72
C0009411,72
C0009411,72
C0009411,72
C0009411,72
C0009557,33
C0009557,33
C0009558,36
C0009558,36
C0009558,36
C0009558,36
C0009558,36
C0009558,36
C0010707,100
C0010707,100
C0010707,100
C0010707,100
C0010707,100
C0010707,100
C0010707,100
C0010707,100
C0010931,19
C0010931,19
C0010931,19
C0010931,19
C0010931,19
C0010931,19
C0011209,137
C0011209,137
C0011593,175
C0011593,175
C0011593,175
C0011593,175
C0013805,220
C0013805,220
C0013805,220
C0013805,220
C0013805,220
C0013805,220
C0013805,220
C0013805,220
C0013808,218
C0013808,218
C0013808,218
C0013808,218
C0013808,218
C0013808,218
C0013808,218
C0013808,218
C0013808,218
C0013808,218
C0013842,234
C0013842,234
C0013842,234
C0013842,234
C0013842,234
C0013842,234
C0013842,234
C0013842,234
C0013855,233
C0013855,233
C0013855,233
C0013855,233
C0013938,132
C0013938,132
C0013938,132
C0013938,132
C0013938,132
C0013938,132
C0013938,132
C0013938,132
C0014586,140
C0014586,140
C0014872,94
C0014872,94
C0014872,94
C0014872,94
C0015236,222
C0015236,222
C0015236,222
C0015236,222
C0015236,222
C0015236,222
C0015238,29
C0015238,29
C0015238,29
C0015238,29
C0015238,29
C0015238,29
C0015238,29
C0015238,29
C0015244,29
C0015244,29
C0015244,29
C0015244,29
C0015244,29
C0015244,29
C0015245,29
C0015245,29
C0015245,29
C0015245,29
C0015245,29
C0015245,29
C0015246,29
C0015246,29
C0015246,29
C0015246,29
C0015246,29
C0015246,29
C0015247,29
C0015247,29
C0015247,29
C0015247,29
C0015247,29
C0015247,29
C0015247,29
C0015247,29
C0015327,84
C0015327,84
C0015400,21
C0015400,21
C0015400,21
C0015400,21
C0015618,218
C0015618,218
C0015945,139
C0015945,139
C0015945,139
C0015945,139
C0016263,234
C0016263,234
C0016263,234
C0016263,234
C0016313,220
C0016313,220
C0016999,132
C0016999,132
C0017573,33
C0017573,33
C0017576,33
C0017576,33
C0017673,33
C0017673,33
C0017680,33
C0017680,33
C0017741,233
C0017741,233
C0017741,233
C0017741,233
C0017741,233
C0017741,233
C0017741,233
C0017741,233
C0018071,220
C0018071,220
C0018071,220
C0018071,220
C0018071,220
C0018071,220
C0018071,220
C0018071,220
C0018072,14
C0018072,14
C0018072,14
C0018072,14
C0018072,14
C0018072,14
C0018072,14
C0018072,14
C0018580,237
C0018580,237
C0018580,237
C0018580,237
C0018580,237
C0018580,237
C0018580,237
C0018580,237
C0018821,49
C0018821,49
C0018821,49
C0018821,49
C0018822,176
C0018822,176
C0018822,176
C0018822,176
C0018822,176
C0018822,176
C0018823,176
C0018823,176
C0018904,235
C0018904,235
C0018904,235
C0018904,235
C0018904,235
C0018904,235
C0018904,235
C0018904,235
C0018935,233
C0018935,233
C0018935,233
C0018935,233
C0018935,233
C0018935,233
C0018935,233
C0018935,233
C0018990,157
C0018990,157
C0018990,157
C0018990,157
C0018990,157
C0018990,157
C0018990,157
C0018990,157
C0019063,91
C0019063,91
C0019063,91
C0019063,91
C0019063,91
C0019063,91
C0019063,91
C0019063,91
C0020043,236
C0020043,236
C0020587,218
C0020587,218
C0020587,218
C0020587,218
C0020587,218
C0020587,218
C0020587,218
C0020587,218
C0020587,218
C0020587,218
C0020708,132
C0020708,132
C0020708,132
