cui,code
C0810093,CCS-PCS-ext:1
C0810094,CCS-PCS-ext:2
C0810095,CCS-PCS-ext:3
C0553794,CCS-PCS-ext:4
C0810096,CCS-PCS-ext:5
C0196573,CCS-PCS-ext:6
C0847448,CCS-PCS-ext:7
C0810098,CCS-PCS-ext:8
C0810099,CCS-PCS-ext:9
C0810100,CCS-PCS-ext:10
C0810101,CCS-PCS-ext:11
C0810102,CCS-PCS-ext:12
C0810103,CCS-PCS-ext:14
C0395504,CCS-PCS-ext:15
C0810105,CCS-PCS-ext:16
C0176260,CCS-PCS-ext:17
C2937355,CCS-PCS-ext:18
C0810106,CCS-PCS-ext:19
C0810107,CCS-PCS-ext:20
C0810108,CCS-PCS-ext:21
C0810109,CCS-PCS-ext:25
C0810110,CCS-PCS-ext:26
C0188972,CCS-PCS-ext:27
C0035467,CCS-PCS-ext:28
C0810113,CCS-PCS-ext:31
C0810114,CCS-PCS-ext:32
C0810115,CCS-PCS-ext:33
C0810116,CCS-PCS-ext:34
C0810117,CCS-PCS-ext:35
C0810118,CCS-PCS-ext:36
C0810119,CCS-PCS-ext:37
C0810120,CCS-PCS-ext:38
C0810121,CCS-PCS-ext:39
C0810122,CCS-PCS-ext:40
C0810123,CCS-PCS-ext:41
C0190065,CCS-PCS-ext:43
C0810127,CCS-PCS-ext:47
C0810129,CCS-PCS-ext:49
C0810130,CCS-PCS-ext:50
C0810131,CCS-PCS-ext:51
C0810132,CCS-PCS-ext:52
C0392835,CCS-PCS-ext:53
C0810133,CCS-PCS-ext:54
C0810135,CCS-PCS-ext:56
C0810136,CCS-PCS-ext:57
C0019004,CCS-PCS-ext:58
C0810137,CCS-PCS-ext:59
C0810138,CCS-PCS-ext:60
C0810139,CCS-PCS-ext:61
C0810140,CCS-PCS-ext:62
C0810141,CCS-PCS-ext:63
C0005954,CCS-PCS-ext:65
C0194014,CCS-PCS-ext:65
C0810143,CCS-PCS-ext:67
C0810144,CCS-PCS-ext:68
C0192389,CCS-PCS-ext:69
C0192674,CCS-PCS-ext:70
C0810146,CCS-PCS-ext:71
C0810147,CCS-PCS-ext:72
C0810148,CCS-PCS-ext:73
C0810149,CCS-PCS-ext:74
C0810151,CCS-PCS-ext:77
C0810153,CCS-PCS-ext:79
C0176866,CCS-PCS-ext:81
C0810154,CCS-PCS-ext:82
C0008321,CCS-PCS-ext:84
C1970975,CCS-PCS-ext:85
C0176967,CCS-PCS-ext:86
C0031150,CCS-PCS-ext:87
C0810156,CCS-PCS-ext:90
C0176786,CCS-PCS-ext:92
C0810158,CCS-PCS-ext:93
C0810159,CCS-PCS-ext:94
