cui,code
C0178321,PheCode:870.0
C3266877,PheCode:198.0
C0344420,PheCode:426.32
C1879286,PheCode:426.3
C0264886,PheCode:426.0
C0007820,PheCode:433.0
C1370867,PheCode:986.0
C0151971,PheCode:556.1
C0156367,PheCode:619.1
C0030196,PheCode:773.0
C1533675,PheCode:377.0
C2143184,PheCode:395.4
C0018824,PheCode:395.0
C0156319,PheCode:610.8
C0809966,PheCode:172.2
C0007114,PheCode:172.0
C4554626,PheCode:327.4
C0851578,PheCode:327.0
C0029551,PheCode:348.0
C0017612,PheCode:365.1
C1962986,PheCode:365.0
C0423124,PheCode:374.6
C0153567,PheCode:182.0
C0376286,PheCode:261.0
C0002873,PheCode:285.2
C0472702,PheCode:285.0
C0012767,PheCode:520.2
C0037932,PheCode:737.0
C1455899,PheCode:792.0
C1510586,PheCode:313.0
C2349671,PheCode:783.1
C2230127,PheCode:783.0
C0869452,PheCode:519.0
C4553103,PheCode:394.3
C0018800,PheCode:416.0
C0009324,PheCode:555.2
C0810034,PheCode:580.0
C0478556,PheCode:1010.6
C0033677,PheCode:260.0
C0002949,PheCode:442.4
C0810316,PheCode:531.1
C1522057,PheCode:535.6
C0267166,PheCode:535.0
C0392618,PheCode:80.0
C0007102,PheCode:153.2
C0009404,PheCode:153.0
C0001621,PheCode:255.0
C0033740,PheCode:131.0
C0031115,PheCode:443.7
C0085096,PheCode:443.0
C0024128,PheCode:510.2
C0039494,PheCode:526.4
C0158369,PheCode:771.1
C2198078,PheCode:771.0
C0878544,PheCode:425.0
C0008311,PheCode:575.1
C0156217,PheCode:575.0
C0695245,PheCode:655.1
C0311394,PheCode:741.3
C0152086,PheCode:836.0
C0159078,PheCode:598.9
C0030567,PheCode:332.0
C0392702,PheCode:350.1
C0558189,PheCode:350.0
C3263723,PheCode:1009.0
C0002880,PheCode:283.1
C0002879,PheCode:283.0
C0270627,PheCode:323.2
C0014038,PheCode:323.0
C3257980,PheCode:1005.0
C0018889,PheCode:134.0
C0005684,PheCode:189.21
C0699885,PheCode:189.2
C1719651,PheCode:795.8
C0339573,PheCode:365.11
C0348668,PheCode:459.0
C0020450,PheCode:643.0
C0154223,PheCode:259.0
C3203102,PheCode:415.21
C0238074,PheCode:415.2
C0034072,PheCode:415.0
C4552864,PheCode:476.0
C0392440,PheCode:701.6
C0157727,PheCode:701.0
C1963279,PheCode:70.0
C4553314,PheCode:292.6
C0027765,PheCode:292.0
C0009766,PheCode:371.21
C4551678,PheCode:371.0
C0152227,PheCode:375.2
C1306503,PheCode:550.4
C0178282,PheCode:550.0
C0339543,PheCode:362.26
C0339436,PheCode:362.2
C0339438,PheCode:362.0
C0026946,PheCode:117.0
C3715208,PheCode:426.21
C0031036,PheCode:446.6
C0035445,PheCode:729.1
C0032463,PheCode:200.1
C0027022,PheCode:200.0
C0702159,PheCode:284.2
C0002874,PheCode:284.0
C1135334,PheCode:411.41
C0010054,PheCode:411.4
C0151744,PheCode:411.0
C0029586,PheCode:733.0
C0266015,PheCode:750.0
C0869523,PheCode:420.0
C0036091,PheCode:528.7
C0476235,PheCode:1002.0
C4303662,PheCode:214.1
C3489413,PheCode:214.0
C1384683,PheCode:364.9
C0152097,PheCode:513.8
C0231796,PheCode:513.0
C4555212,PheCode:272.1
C0149654,PheCode:312.0
C0030491,PheCode:696.2
C2957175,PheCode:250.22
C0011860,PheCode:250.2
C0011849,PheCode:250.0
C2745963,PheCode:716.3
C0039231,PheCode:427.7
C0003811,PheCode:427.0
C0016508,PheCode:755.1
C0004623,PheCode:41.0
C0750426,PheCode:288.2
C0023510,PheCode:288.0
C0002395,PheCode:290.13
C0497327,PheCode:290.1
C4067665,PheCode:290.0
C4552647,PheCode:358.1
C0027868,PheCode:358.0
C0495710,PheCode:573.9
C0159047,PheCode:292.12
C0410632,PheCode:722.3
C0158252,PheCode:722.0
C0041782,PheCode:281.9
C0154288,PheCode:281.0
C0155503,PheCode:386.21
C0156195,PheCode:573.1
C2697310,PheCode:697.0
C0022581,PheCode:701.1
C0153381,PheCode:145.0
C0029632,PheCode:282.8
C0002881,PheCode:282.0
C0154671,PheCode:331.9
C1456296,PheCode:290.2
C0278061,PheCode:292.4
C0156199,PheCode:574.11
C0008350,PheCode:574.1
C0917996,PheCode:433.5
C0024633,PheCode:530.7
C0014852,PheCode:530.0
C0022603,PheCode:702.2
C0241889,PheCode:1100.0
C0004998,PheCode:216.0
C0027066,PheCode:333.2
C0155874,PheCode:496.21
C0008677,PheCode:496.2
C0024117,PheCode:496.0
C0477810,PheCode:639.0
C0154054,PheCode:229.1
C0155006,PheCode:368.91
C0155001,PheCode:368.9
C0547030,PheCode:368.0
C0546826,PheCode:110.13
C0040247,PheCode:110.1
C0011854,PheCode:250.1
C0342579,PheCode:276.1
C0267994,PheCode:276.0
C1456324,PheCode:291.4
C0348741,PheCode:560.4
C0021844,PheCode:560.0
C0494230,PheCode:282.9
C0154700,PheCode:344.0
C0039106,PheCode:741.6
C0003125,PheCode:305.21
C0013473,PheCode:305.2
C0032285,PheCode:480.0
C0002753,PheCode:565.1
C0740266,PheCode:565.0
C0810313,PheCode:574.3
C1456784,PheCode:295.2
