cui,code
C0002388,CCS-PCS-ext:29
C0002393,CCS-PCS-ext:29
C0002500,CCS-PCS-ext:235
C0002627,CCS-PCS-ext:138
C0002691,CCS-PCS-ext:157
C0002692,CCS-PCS-ext:157
C0002866,CCS-PCS-ext:233
C0002903,CCS-PCS-ext:232
C0002903,CCS-PCS-ext:232
C0002912,CCS-PCS-ext:232
C0002971,CCS-PCS-ext:47
C0002979,CCS-PCS-ext:191
C0003611,CCS-PCS-ext:80
C0003612,CCS-PCS-ext:80
C0003904,CCS-PCS-ext:149
C0003904,CCS-PCS-ext:149
C0004286,CCS-PCS-ext:220
C0004398,CCS-PCS-ext:234
C0005729,CCS-PCS-ext:233
C0005771,CCS-PCS-ext:233
C0005800,CCS-PCS-ext:205
C0005841,CCS-PCS-ext:222
C0005843,CCS-PCS-ext:141
C0005844,CCS-PCS-ext:235
C0005845,CCS-PCS-ext:233
C0005857,CCS-PCS-ext:231
C0005863,CCS-PCS-ext:233
C0005933,CCS-PCS-ext:159
C0005954,CCS-PCS-ext:65
C0005954,CCS-PCS-ext:65
C0005976,CCS-PCS-ext:161
C0006101,CCS-PCS-ext:233
C0006778,CCS-PCS-ext:220
C0007203,CCS-PCS-ext:63
C0007438,CCS-PCS-ext:204
C0007876,CCS-PCS-ext:134
C0007979,CCS-PCS-ext:174
C0008320,CCS-PCS-ext:84
C0008321,CCS-PCS-ext:84
C0008321,CCS-PCS-ext:84
C0008322,CCS-PCS-ext:84
C0008323,CCS-PCS-ext:84
C0008359,CCS-PCS-ext:228
C0008509,CCS-PCS-ext:139
C0008797,CCS-PCS-ext:226
C0009069,CCS-PCS-ext:233
C0009410,CCS-PCS-ext:72
C0009411,CCS-PCS-ext:72
C0009557,CCS-PCS-ext:33
C0009558,CCS-PCS-ext:36
C0010702,CCS-PCS-ext:100
C0010707,CCS-PCS-ext:100
C0010931,CCS-PCS-ext:19
C0011209,CCS-PCS-ext:137
C0011593,CCS-PCS-ext:175
C0011931,CCS-PCS-ext:192
C0013520,CCS-PCS-ext:193
C0013524,CCS-PCS-ext:193
C0013526,CCS-PCS-ext:192
C0013778,CCS-PCS-ext:225
C0013798,CCS-PCS-ext:202
C0013805,CCS-PCS-ext:220
C0013808,CCS-PCS-ext:218
C0013819,CCS-PCS-ext:199
C0013842,CCS-PCS-ext:234
C0013855,CCS-PCS-ext:233
C0013938,CCS-PCS-ext:132
C0014441,CCS-PCS-ext:206
C0014441,CCS-PCS-ext:206
C0014441,CCS-PCS-ext:206
C0014441,CCS-PCS-ext:206
C0014441,CCS-PCS-ext:206
C0014586,CCS-PCS-ext:140
C0014586,CCS-PCS-ext:133
C0014872,CCS-PCS-ext:94
C0015236,CCS-PCS-ext:222
C0015238,CCS-PCS-ext:29
C0015244,CCS-PCS-ext:29
C0015245,CCS-PCS-ext:29
C0015246,CCS-PCS-ext:29
C0015247,CCS-PCS-ext:29
C0015327,CCS-PCS-ext:84
C0015400,CCS-PCS-ext:21
C0015618,CCS-PCS-ext:218
C0015945,CCS-PCS-ext:139
C0016263,CCS-PCS-ext:234
C0016313,CCS-PCS-ext:220
C0016356,CCS-PCS-ext:99
C0016999,CCS-PCS-ext:132
C0017195,CCS-PCS-ext:70
