cui,code
C0000744,PheCode:277.51
C0000768,PheCode:251.8
C0000768,PheCode:749.2
C0000768,PheCode:756.1
C0000768,PheCode:749.0
C0000768,PheCode:747.2
C0000768,PheCode:654.1
C0000768,PheCode:750.13
C0000768,PheCode:750.1
C0000768,PheCode:750.2
C0000814,PheCode:634.1
C0000817,PheCode:634.0
C0000821,PheCode:636.0
C0000821,PheCode:636.3
C0000832,PheCode:635.3
C0000833,PheCode:614.54
C0000833,PheCode:528.3
C0000833,PheCode:681.0
C0000833,PheCode:681.1
C0000833,PheCode:681.3
C0000833,PheCode:681.5
C0000889,PheCode:701.6
C0000889,PheCode:701.0
C0001122,PheCode:276.0
C0001122,PheCode:276.41
C0001122,PheCode:276.4
C0001126,PheCode:580.0
C0001127,PheCode:276.0
C0001144,PheCode:706.1
C0001144,PheCode:706.1
C0001163,PheCode:389.5
C0001163,PheCode:389.5
C0001168,PheCode:433.1
C0001168,PheCode:433.11
C0001169,PheCode:286.4
C0001169,PheCode:286.4
C0001206,PheCode:253.1
C0001261,PheCode:41.0
C0001308,PheCode:573.4
C0001308,PheCode:573.4
C0001327,PheCode:465.4
C0001339,PheCode:577.1
C0001339,PheCode:577.1
C0001342,PheCode:523.31
C0001342,PheCode:523.31
C0001344,PheCode:465.2
C0001344,PheCode:465.2
C0001361,PheCode:474.1
C0001361,PheCode:474.1
C0001363,PheCode:441.1
C0001363,PheCode:441.1
C0001621,PheCode:255.0
C0001621,PheCode:255.0
C0001623,PheCode:255.2
C0001623,PheCode:255.2
C0001815,PheCode:289.1
C0001815,PheCode:289.0
C0001816,PheCode:292.1
C0001816,PheCode:292.12
C0001816,PheCode:292.0
C0001824,PheCode:288
C0001957,PheCode:290.2
C0001973,PheCode:317.1
C0001973,PheCode:317.1
C0002063,PheCode:276.0
C0002063,PheCode:276.42
C0002063,PheCode:276.4
C0002064,PheCode:276.42
C0002170,PheCode:704.11
C0002170,PheCode:704.11
C0002390,PheCode:500.1
C0002390,PheCode:500.1
C0002395,PheCode:290.11
C0002395,PheCode:290.11
C0002395,PheCode:290.13
C0002395,PheCode:290.13
C0002418,PheCode:368.1
C0002418,PheCode:368.1
C0002438,PheCode:8.0
C0002453,PheCode:626.1
C0002594,PheCode:573.6
C0002622,PheCode:292.3
C0002622,PheCode:292.3
C0002694,PheCode:872.0
C0002694,PheCode:872.0
C0002726,PheCode:270.33
C0002726,PheCode:270.33
C0002736,PheCode:334.21
C0002736,PheCode:334.21
C0002753,PheCode:565.1
C0002753,PheCode:565.1
C0002792,PheCode:946.0
C0002873,PheCode:285.2
C0002873,PheCode:285.2
C0002874,PheCode:284.0
C0002874,PheCode:284.0
C0002878,PheCode:283
C0002879,PheCode:283.0
C0002879,PheCode:283.0
C0002880,PheCode:283.2
C0002880,PheCode:283.1
C0002880,PheCode:283.1
C0002881,PheCode:282.0
C0002881,PheCode:282.0
C0002888,PheCode:281.1
C0002888,PheCode:281.1
C0002890,PheCode:285.0
C0002892,PheCode:281.11
C0002892,PheCode:281.11
C0002895,PheCode:282.5
C0002895,PheCode:282.5
C0002896,PheCode:285.3
C0002896,PheCode:285.3
C0002932,PheCode:668.0
C0002940,PheCode:442.0
C0002945,PheCode:442.8
C0002945,PheCode:442.8
C0002949,PheCode:442.4
C0002949,PheCode:442.4
C0002962,PheCode:411.3
C0002962,PheCode:411.3
C0002965,PheCode:411.1
C0002994,PheCode:949.0
C0003028,PheCode:705.0
C0003081,PheCode:368.3
C0003081,PheCode:368.3
C0003090,PheCode:741.1
C0003090,PheCode:741.1
C0003123,PheCode:260.6
C0003123,PheCode:260.0
C0003125,PheCode:305.21
C0003125,PheCode:305.21
C0003165,PheCode:500.2
C0003165,PheCode:500.0
C0003191,PheCode:965.0
C0003204,PheCode:961.0
C0003280,PheCode:964.1
C0003364,PheCode:972.6
C0003392,PheCode:963.1
C0003419,PheCode:965.0
C0003469,PheCode:300.0
C0003469,PheCode:300.1
C0003469,PheCode:300.1
C0003469,PheCode:300.0
C0003502,PheCode:395.2
C0003502,PheCode:395.2
C0003507,PheCode:394.1
C0003516,PheCode:747.0
C0003516,PheCode:747.1
C0003516,PheCode:747.11
C0003534,PheCode:379.3
C0003537,PheCode:292.1
C0003537,PheCode:292.11
C0003537,PheCode:292.11
C0003578,PheCode:509.5
C0003578,PheCode:509.5
C0003615,PheCode:540.11
C0003615,PheCode:540.11
C0003635,PheCode:292.1
C0003635,PheCode:292.0
C0003635,PheCode:292.12
C0003723,PheCode:133.0
C0003803,PheCode:747.0
C0003803,PheCode:747.1
C0003803,PheCode:752.11
C0003803,PheCode:752.0
C0003803,PheCode:752.1
C0003811,PheCode:427.0
C0003811,PheCode:427.0
C0003811,PheCode:427.5
C0003811,PheCode:427.5
C0003850,PheCode:440.0
C0003857,PheCode:747.2
C0003860,PheCode:446.9
C0003860,PheCode:446.9
C0003862,PheCode:745.0
C0003862,PheCode:745.0
C0003868,PheCode:274.11
C0003868,PheCode:274.11
C0003872,PheCode:696.42
C0003872,PheCode:696.42
C0003873,PheCode:714.0
C0003873,PheCode:714.1
C0003873,PheCode:714.1
C0003874,PheCode:711.1
C0003892,PheCode:713.5
C0003892,PheCode:713.5
C0003949,PheCode:500.2
C0003950,PheCode:134.1
C0003950,PheCode:134.0
C0003969,PheCode:261.3
C0003969,PheCode:261.3
C0004030,PheCode:117.4
C0004030,PheCode:117.4
C0004093,PheCode:798.0
C0004096,PheCode:495.2
C0004096,PheCode:495.0
C0004096,PheCode:495.0
C0004099,PheCode:495.0
C0004106,PheCode:367.2
C0004106,PheCode:367.2
C0004114,PheCode:348.9
C0004153,PheCode:440.22
C0004153,PheCode:440.21
C0004153,PheCode:440.0
C0004153,PheCode:440.2
C0004153,PheCode:440.0
C0004245,PheCode:426.2
C0004245,PheCode:426.0
C0004352,PheCode:313.3
C0004352,PheCode:313.3
C0004364,PheCode:279.2
C0004610,PheCode:38.0
C0004610,PheCode:38.3
