cui,code
C0000744,PheCode:276.11
C0000744,PheCode:609
C0000744,PheCode:751.0
C0000744,PheCode:276.14
C0000744,PheCode:769.0
C0000744,PheCode:840.0
C0000744,PheCode:989.0
C0000744,PheCode:386.3
C0000744,PheCode:255.0
C0000744,PheCode:289.0
C0000744,PheCode:289.4
C0000744,PheCode:714.0
C0000744,PheCode:346.2
C0000744,PheCode:586.11
C0000744,PheCode:270.34
C0000744,PheCode:426.2
C0000744,PheCode:204.1
C0000744,PheCode:368.4
C0000744,PheCode:791.0
C0000744,PheCode:275.51
C0000744,PheCode:220.0
C0000744,PheCode:642.0
C0000744,PheCode:781.0
C0000744,PheCode:601.1
C0000744,PheCode:258.1
C0000744,PheCode:377.1
C0000744,PheCode:411.4
C0000744,PheCode:250.6
C0000744,PheCode:204.0
C0000744,PheCode:278.4
C0000768,PheCode:441.0
C0000768,PheCode:749.0
C0000768,PheCode:966.0
C0000768,PheCode:687.2
C0000768,PheCode:694.0
C0000768,PheCode:245.0
C0000768,PheCode:358.0
C0000768,PheCode:442.0
C0000768,PheCode:987.0
C0000768,PheCode:442.1
C0000768,PheCode:760.0
C0000768,PheCode:750.2
C0000768,PheCode:290.1
C0000768,PheCode:253.2
C0000768,PheCode:500.1
C0000768,PheCode:715.0
C0000768,PheCode:259.0
C0000768,PheCode:394
C0000768,PheCode:1008.0
C0000768,PheCode:656.22
C0000768,PheCode:686.4
C0000768,PheCode:772.3
C0000768,PheCode:738.4
C0000768,PheCode:612.1
C0000768,PheCode:230.0
C0000768,PheCode:295.0
C0000768,PheCode:609.1
C0000768,PheCode:217.0
C0000768,PheCode:871.2
C0000768,PheCode:255.1
C0000768,PheCode:646.0
C0000768,PheCode:591.0
C0000768,PheCode:348.2
C0000768,PheCode:446.6
C0000768,PheCode:835.0
C0000768,PheCode:415.2
C0000768,PheCode:619.5
C0000768,PheCode:512.0
C0000768,PheCode:747.0
C0000768,PheCode:158.0
C0000768,PheCode:727.5
C0000768,PheCode:728.7
C0000768,PheCode:871.3
C0000768,PheCode:733.0
C0000768,PheCode:297.1
C0000768,PheCode:395.0
C0000768,PheCode:674.0
C0000768,PheCode:526.41
C0000768,PheCode:287.4
C0000768,PheCode:984.0
C0000768,PheCode:41.2
C0000768,PheCode:433.6
C0000768,PheCode:580.3
C0000768,PheCode:853.0
C0000768,PheCode:755.61
C0000768,PheCode:681.0
C0000768,PheCode:751.0
C0000768,PheCode:290.0
C0000768,PheCode:362.1
C0000768,PheCode:149.2
C0000768,PheCode:38.0
C0000768,PheCode:250.41
C0000768,PheCode:279.0
C0000768,PheCode:728.7
C0000768,PheCode:609.0
C0000768,PheCode:594.8
C0000768,PheCode:350.2
C0000768,PheCode:184.2
C0000768,PheCode:81.1
C0000768,PheCode:429.0
C0000768,PheCode:871.3
C0000768,PheCode:530.6
C0000768,PheCode:495.0
C0000768,PheCode:758.1
C0000768,PheCode:420.0
C0000768,PheCode:371.3
C0000768,PheCode:747.0
C0000768,PheCode:528.11
C0000768,PheCode:626.2
C0000768,PheCode:379.9
C0000768,PheCode:751.22
C0000768,PheCode:301.1
C0000768,PheCode:41.0
C0000768,PheCode:958.0
C0000768,PheCode:250.2
C0000768,PheCode:465.0
C0000768,PheCode:284.1
C0000768,PheCode:185.0
C0000768,PheCode:379.5
C0000768,PheCode:442.4
C0000768,PheCode:510.0
C0000768,PheCode:696.4
C0000768,PheCode:286.11
C0000768,PheCode:690.1
C0000768,PheCode:521.4
C0000768,PheCode:255.1
C0000768,PheCode:594.1
C0000768,PheCode:709.4
C0000768,PheCode:681.6
C0000768,PheCode:686.4
C0000768,PheCode:661.0
C0000768,PheCode:729.7
C0000768,PheCode:758.1
C0000768,PheCode:276.1
C0000768,PheCode:134.0
C0000768,PheCode:426
C0000768,PheCode:800.2
C0000768,PheCode:446.7
C0000768,PheCode:54.0
C0000768,PheCode:41.0
C0000768,PheCode:305.21
C0000768,PheCode:727.2
C0000768,PheCode:131.0
C0000768,PheCode:281.9
C0000768,PheCode:452.8
C0000768,PheCode:38.0
C0000768,PheCode:420.2
C0000768,PheCode:362.21
C0000768,PheCode:425.0
C0000768,PheCode:401.3
C0000768,PheCode:370.3
C0000768,PheCode:202.0
C0000768,PheCode:296.22
C0000768,PheCode:259.0
C0000768,PheCode:290.0
C0000768,PheCode:70.1
C0000768,PheCode:190.0
C0000768,PheCode:370.1
C0000768,PheCode:854.0
C0000768,PheCode:394.4
C0000768,PheCode:245.1
C0000768,PheCode:444.5
C0000768,PheCode:174.2
C0000768,PheCode:596.5
C0000768,PheCode:380.1
C0000768,PheCode:593.1
C0000768,PheCode:184.0
C0000768,PheCode:402.0
C0000768,PheCode:620.1
C0000768,PheCode:165.1
C0000768,PheCode:592.21
C0000768,PheCode:225.0
C0000768,PheCode:681.3
C0000768,PheCode:441.1
C0000768,PheCode:661
C0000768,PheCode:194.0
C0000768,PheCode:656.6
C0000768,PheCode:721.2
C0000768,PheCode:286.3
C0000768,PheCode:304.0
C0000768,PheCode:426.0
C0000768,PheCode:574.3
C0000768,PheCode:334
C0000768,PheCode:613.0
C0000768,PheCode:270.34
C0000768,PheCode:536.0
C0000768,PheCode:620.1
C0000768,PheCode:293.1
C0000768,PheCode:368.7
C0000768,PheCode:1008.0
C0000768,PheCode:312.0
C0000768,PheCode:288.0
C0000768,PheCode:588.0
C0000768,PheCode:379.9
C0000768,PheCode:333.3
C0000768,PheCode:362.5
C0000768,PheCode:614.52
C0000768,PheCode:765.0
C0000768,PheCode:368.9
C0000768,PheCode:504.0
C0000768,PheCode:618.5
C0000768,PheCode:278.1
C0000768,PheCode:525.2
C0000768,PheCode:594.0
C0000768,PheCode:253.0
C0000768,PheCode:284.0
C0000768,PheCode:521.0
C0000768,PheCode:733.8
C0000768,PheCode:446.3
C0000768,PheCode:465.4
C0000768,PheCode:331.9
C0000768,PheCode:560.4
C0000768,PheCode:749.1
C0000768,PheCode:317.0
C0000768,PheCode:588.1
C0000768,PheCode:278.1
C0000768,PheCode:674.0
C0000768,PheCode:259.0
C0000768,PheCode:521.4
C0000768,PheCode:296.2
C0000768,PheCode:282.9
