"PheCode","CUI"
"008_","C0008354|C0343372|C0275976|C0343375|C0343376|C0343377|C0030528|C0016479|C0002438|C1363999|C0152501|C0023886|C0152502|C0152503|C1318565|C0152505|C0152506|C1299919|C0411268|C0343398|C0276774|C0152518|C0152519|C1279224|C0595979|C0013369|C0152522|C0152942|C0152945|C0041466|C0152485|C0036114|C0152487|C0152492|C0029826|C0036117|C0013371|C0302358|C0302359|C0302360|C0302361|C0152493|C0152498|C0038159|C1739094|C0275590|C0152496|C0152497|C0374921|C0152511|C0276058|C0152513|C0489951|C0038157|C0152515|C0275982|C0238528|C0374931|C0374932|C0152516|C0341558|C0343380|C0343379|C0343382|C0343381|C0494024|C0494025|C0152517|C0347854|C0276162|C0374933|C0374934|C1611187|C0374936|C0374937|C0348098|C0489952|C0152500|C0004692|C0017536|C0010418|C0152507|C0009187|C0042708|C0178238"
"008_5","C0041466|C0152485|C0036114|C0152487|C0152492|C0029826|C0036117|C0013371|C0302358|C0302359|C0302360|C0302361|C0152493|C0152498|C0038159|C1739094|C0275590|C0152496|C0152497|C0374921|C0152511|C0276058|C0152513|C0489951|C0038157|C0152515|C0275982|C0238528|C0374931|C0374932|C0152516|C0341558|C0343380|C0343379|C0343382|C0343381|C0494024|C0494025"
"008_51","C0341558|C0343380|C0343379|C0343382|C0343381|C0494024"
"008_52","C0494025"
"008_6","C0152517|C0347854|C0276162|C0374933|C0374934|C1611187|C0374936|C0374937|C0348098|C0489952|C0042708"
"008_7","C0152500|C0004692|C0017536|C0010418|C0152507"
"010_","C0152545|C1812612|C0374939|C0374940|C0374941|C0374942|C0374943|C0374944|C0152531|C0374945|C0152532|C0152533|C0152534|C0152535|C0152536|C0152537|C0152538|C0374946|C0152539|C0152540|C0152541|C0152542|C0152543|C0152544|C1812610|C1812611|C0152546|C0152547|C0152548|C0152549|C0152550|C0152551|C0041327|C0152552|C0152553|C0152554|C0152555|C0152556|C0152557|C0152558|C0152559|C0152560|C0152561|C0152562|C0152563|C0152564|C0152565|C0152566|C0152567|C0152568|C0152569|C0152570|C0152571|C0152572|C0152573|C0152574|C0152575|C0152576|C0152577|C0152578|C0152579|C0041336|C0152580|C0152581|C0152582|C0152583|C0152584|C0152585|C0152586|C0152587|C0152588|C0152589|C0152590|C0152591|C0152592|C0275891|C0374952|C0152594|C0152595|C0152596|C0152597|C0152598|C0152599|C0152600|C0152601|C0152602|C0152603|C0152604|C0152605|C0152606|C0152607|C0374954|C0152608|C0152609|C0152610|C0152611|C0152612|C0152613|C0152614|C0152615|C0152616|C0152617|C0152618|C0152619|C0152620|C0041326|C0152621|C0152622|C0152623|C0152624|C0152625|C0152626|C0152627|C0152628|C0152629|C0152630|C0152631|C0152632|C0152633|C0152634|C0152635|C0152636|C0152637|C0152638|C0152639|C0152640|C0041315|C0374955|C0152641|C0152642|C0152643|C0152644|C0152645|C0152646|C0152647|C0152648|C0152649|C0152650|C0152651|C0152652|C0152653|C0152654|C0041318|C0152655|C0152656|C0152657|C0152658|C0152659|C0152660|C0152661|C0152662|C0152663|C0152664|C0152665|C0152666|C0152667|C0085388|C0152669|C0152670|C0152671|C0152672|C0152673|C0152674|C2607948|C0374958|C0152676|C0152677|C0152678|C0152679|C0152680|C0152681|C0338439|C0152683|C0152684|C0152685|C0152686|C0152687|C0152688|C0152690|C0152691|C0152692|C0152693|C0152694|C0152695|C0152696|C0152697|C0152698|C0152699|C0152700|C0152701|C0152702|C0152703|C0374959|C0152704|C0152705|C0152706|C0152707|C0152708|C0152709|C0275904|C0152711|C0152712|C0152713|C0152714|C0152715|C0152716|C0152717|C0041325|C0374961|C0152718|C0152719|C0152720|C0152721|C0152722|C0152723|C0152724|C0374962|C0152725|C0152726|C0152727|C0152728|C0152729|C0152730|C0041324|C0041330|C0152731|C0152732|C0152733|C0152734|C0152735|C0152736|C0152737|C0374963|C0152738|C0152739|C0152740|C0152741|C0152742|C0152743|C0152744|C0374964|C0152745|C0152746|C0152747|C0152748|C0152749|C0152750|C0347900|C0152752|C0152753|C0152754|C0152755|C0152756|C0152757|C0275956|C0374965|C0152759|C0152760|C0152761|C0152762|C0152763|C0152764|C0152765|C0374966|C0152766|C0152767|C0152768|C0152769|C0152770|C0152771|C0152772|C0374967|C0152773|C0152774|C0152775|C0152776|C0152777|C0152778|C0374968|C0152780|C0152781|C0152782|C0152783|C0152784|C0152785|C0041333|C0041328|C0152787|C0152788|C0152789|C0152790|C0152791|C0152792|C0152793|C0152794|C0152795|C0152796|C0152797|C0152798|C0152799|C0152800|C0374969|C0152801|C0152802|C0152803|C0152804|C0152805|C0152806|C0041332|C0374970|C0152808|C0152809|C0152810|C0152811|C0152812|C0152813|C0152814|C0374971|C0152815|C0152816|C0152817|C0152818|C0152819|C0152820|C0152821|C0152822|C0152823|C0152824|C0152825|C0152826|C0152827|C0152828|C0374972|C0152829|C0152830|C0152831|C0152832|C0152833|C0152834|C0152835|C0152836|C0152837|C0152838|C0152839|C0152840|C0152841|C0374973|C0152843|C0152844|C0152845|C0152846|C0152847|C0152848|C0041300|C0374974|C0152849|C0152850|C0152851|C0152852|C0152853|C0152854|C0014744|C0152855|C0152856|C0152857|C0152858|C0152859|C0152860|C0152861|C0152862|C0152863|C0152864|C0152865|C0152866|C0152867|C0041322|C0152868|C0152869|C0152870|C0152871|C0152872|C0152873|C0152874|C0374976|C0152875|C0152876|C0152877|C0152878|C0152879|C0152880|C0152881|C0152882|C0152883|C0152884|C0152885|C0152886|C0152887|C0152888|C0152889|C0152890|C0152891|C0152892|C0152893|C0152894|C0152895|C0041331|C0374977|C0152896|C0152897|C0152898|C0152899|C0152900|C0152901|C0152902|C0374978|C0152903|C0152904|C0152905|C0152906|C0152907|C0152908|C0041301|C0152909|C0152910|C0152911|C0152912|C0152913|C0152914|C0041321|C0152915|C0152916|C0152917|C0152918|C0152919|C0152920|C0152921|C0152922|C0152923|C0152924|C0152925|C0152926|C0152927|C0152928|C0152929|C0152930|C0152931|C0152932|C0152933|C0152934|C0153329|C0343413|C0153331|C0343422|C0153333|C0153334|C0375796|C0041296"
"031_","C0152950|C0489980|C0152951|C0026918|C0023343|C0023348|C0023351|C0021192|C0023346|C0029811"
"031_1","C0023343|C0023348|C0023351|C0021192|C0023346|C0029811"
"038_","C0036690|C0152967|C0348133|C0153041|C1955786|C0152486|C0152936|C0025306|C0152964|C0276063|C0036685|C0276029|C0276088|C0152972|C0152973|C0152946|C0152965|C2349736|C2349737|C0489981|C0152966|C0004610|C0036686"
"038_1","C0152486|C0152936|C0025306|C0152964|C0276063|C0036685|C0276029|C0276088|C0152972|C0152973"
"038_2","C0152946|C0152965|C2349736|C2349737|C0489981|C0152966|C0036686"
"038_3","C0004610"
