"generic_names","rxnorm1","rxnorm_str1","rxnorm2","rxnorm_str2"
"vasopressin",NA,NA,11149,"vasopressin (usp)"
"vasopressin",NA,NA,1098,"argipressin"
"bethanechol",19257,"bethanechol",19257,"bethanechol"
"pamabrom",54365,"pamabrom",54365,"pamabrom"
"medroxyprogesterone",6691,"medroxyprogesterone",6691,"medroxyprogesterone"
"norethindrone",7514,"norethindrone",7514,"norethindrone"
"megestrol",6703,"megestrol",6703,"megestrol"
"ethinyl estradiol and norgestimate",NA,NA,214559,"ethinyl estradiol / norgestimate"
"levonorgestrel emergency contraceptive",NA,NA,NA,NA
"ethinyl estradiol and levonorgestrel",NA,NA,214558,"ethinyl estradiol / levonorgestrel"
"conjugated estrogens",NA,NA,4099,"estrogens, conjugated (usp)"
"ethinyl estradiol and norgestrel",NA,NA,37075,"ethinyl estradiol / norgestrel"
"ethinyl estradiol and norethindrone",NA,NA,384410,"ethinyl estradiol / norethindrone"
"misoprostol",42331,"misoprostol",42331,"misoprostol"
"mifepristone",6964,"mifepristone",6964,"mifepristone"
"oxytocin",7824,"oxytocin",7824,"oxytocin"
"carboprost",2051,"carboprost",2051,"carboprost"
"dinoprostone topical",NA,NA,NA,NA
"acetylcysteine",197,"acetylcysteine",197,"acetylcysteine"
"sodium bicarbonate",36676,"sodium bicarbonate",36676,"sodium bicarbonate"
"doxycycline",3640,"doxycycline",3640,"doxycycline"
"metronidazole topical",NA,NA,NA,NA
"azelaic acid topical",NA,NA,NA,NA
"minocycline",6980,"minocycline",6980,"minocycline"
"doxycycline delayed-release tablets",NA,NA,NA,NA
"brimonidine topical",NA,NA,NA,NA
"doxycycline injection",NA,NA,NA,NA
"doxycycline tablets and capsules",NA,NA,NA,NA
"sulfacetamide sodium and sulfur topical",NA,NA,NA,NA
"isotretinoin",6064,"isotretinoin",6064,"isotretinoin"
"ivermectin cream",NA,NA,NA,NA
"doxycycline suspension",NA,NA,NA,NA
"spironolactone",9997,"spironolactone",9997,"spironolactone"
"clindamycin topical",NA,NA,NA,NA
"tretinoin topical",NA,NA,NA,NA
"sulfamethoxazole and trimethoprim",NA,NA,10831,"sulfamethoxazole / trimethoprim"
"retin-a",NA,NA,NA,NA
"adapalene and benzoyl peroxide",NA,NA,859393,"adapalene / benzoyl peroxide"
"dapsone topical",NA,NA,NA,NA
"adapalene topical",NA,NA,NA,NA
"benzoyl peroxide topical",NA,NA,NA,NA
"tetracycline",10395,"tetracycline",10395,"tetracycline"
"tazarotene topical",NA,NA,NA,NA
"cephalexin",2231,"cephalexin",2231,"cephalexin"
"sulfamethoxazole and trimethoprim tablets",NA,NA,NA,NA
"benzoyl peroxide and clindamycin topical",NA,NA,NA,NA
"octreotide",7617,"octreotide",7617,"octreotide"
"pegvisomant",278739,"pegvisomant",278739,"pegvisomant"
"bromocriptine",1760,"bromocriptine",1760,"bromocriptine"
"lanreotide",68092,"lanreotide",68092,"lanreotide"
"pasireotide",1364105,"pasireotide",1364105,"pasireotide"
"fluorouracil topical",NA,NA,NA,NA
"ingenol topical",NA,NA,NA,NA
"aminolevulinic acid",683,"aminolevulinic acid",683,"aminolevulinic acid"
"amoxicillin",723,"amoxicillin",723,"amoxicillin"
"penicillin g sodium",NA,NA,NA,NA
"penicillin g potassium",NA,NA,NA,NA
"clopidogrel",32968,"clopidogrel",32968,"clopidogrel"
"prasugrel",613391,"prasugrel",613391,"prasugrel"
"ticagrelor",1116632,"ticagrelor",1116632,"ticagrelor"
"enoxaparin",67108,"enoxaparin",67108,"enoxaparin"
"eptifibatide",75635,"eptifibatide",75635,"eptifibatide"
"tirofiban",73137,"tirofiban",73137,"tirofiban"
"colchicine",2683,"colchicine",2683,"colchicine"
"indomethacin",5781,"indomethacin",5781,"indomethacin"
"naproxen",7258,"naproxen",7258,"naproxen"
"ibuprofen",5640,"ibuprofen",5640,"ibuprofen"
"methylprednisolone",6902,"methylprednisolone",6902,"methylprednisolone"
"ibuprofen capsules",NA,NA,NA,NA
"sulindac",10237,"sulindac",10237,"sulindac"
"methotrexate",6851,"methotrexate",6851,"methotrexate"
"imatinib",282388,"imatinib",282388,"imatinib"
"mercaptopurine",103,"mercaptopurine",103,"mercaptopurine"
"dasatinib",475342,"dasatinib",475342,"dasatinib"
"blinatumomab",1597258,"blinatumomab",1597258,"blinatumomab"
"doxorubicin",3639,"doxorubicin",3639,"doxorubicin"
"pegaspargase",34132,"pegaspargase",34132,"pegaspargase"
"ponatinib",1364347,"ponatinib",1364347,"ponatinib"
"mercaptopurine tablets",NA,NA,NA,NA
"asparaginase erwinia chrysanthemi",NA,NA,NA,NA
"vincristine liposome",NA,NA,NA,NA
"nelarabine",274771,"nelarabine",274771,"nelarabine"
"inotuzumab ozogamicin",1942950,"inotuzumab ozogamicin",1942950,"inotuzumab ozogamicin"
"clofarabine",44151,"clofarabine",44151,"clofarabine"
"prednisone",8640,"prednisone",8640,"prednisone"
"vincristine",11202,"vincristine",11202,"vincristine"
"cyclophosphamide",3002,"cyclophosphamide",3002,"cyclophosphamide"
"asparaginase",1156,"asparaginase",1156,"asparaginase"
"daunorubicin",3109,"daunorubicin",3109,"daunorubicin"
"teniposide",10362,"teniposide",10362,"teniposide"
"acetazolamide",167,"acetazolamide",167,"acetazolamide"
"dexamethasone",3264,"dexamethasone",3264,"dexamethasone"
"cytarabine",3041,"cytarabine",3041,"cytarabine"
"enasidenib",1940332,"enasidenib",1940332,"enasidenib"
"idarubicin",5650,"idarubicin",5650,"idarubicin"
"ivosidenib",2049873,"ivosidenib",2049873,"ivosidenib"
"decitabine",15657,"decitabine",15657,"decitabine"
"venetoclax",1747556,"venetoclax",1747556,"venetoclax"
"cytarabine and daunorubicin",NA,NA,NA,NA
"gemtuzumab ozogamicin",1294580,"gemtuzumab ozogamicin",1294580,"gemtuzumab ozogamicin"
"midostaurin",1919083,"midostaurin",1919083,"midostaurin"
"gilteritinib",2105806,"gilteritinib",2105806,"gilteritinib"
"glasdegib",2105845,"glasdegib",2105845,"glasdegib"
"thioguanine",10485,"thioguanine",10485,"thioguanine"
"mitoxantrone",7005,"mitoxantrone",7005,"mitoxantrone"
"ofloxacin otic",NA,NA,NA,NA
"ciprofloxacin and hydrocortisone",NA,NA,465711,"ciprofloxacin / hydrocortisone"
"ciprofloxacin otic",NA,NA,NA,NA
"colistin, hydrocortisone, neomycin, and thonzonium",NA,NA,NA,NA
"tretinoin",10753,"tretinoin",10753,"tretinoin"
"arsenic trioxide",18330,"arsenic trioxide",18330,"arsenic trioxide"
"epinephrine injection",NA,NA,NA,NA
"isoproterenol",6054,"isoproterenol",6054,"isoproterenol"
"epinephrine",3992,"epinephrine",3992,"epinephrine"
"hydrocortisone",5492,"hydrocortisone",5492,"hydrocortisone"
"fludrocortisone",4452,"fludrocortisone",4452,"fludrocortisone"
"dexamethasone tablets",NA,NA,NA,NA
"elapegademase",2059219,"elapegademase",2059219,"elapegademase"
"pegademase bovine",59768,"pegademase bovine",59768,"pegademase bovine"
"probenecid",8698,"probenecid",8698,"probenecid"
"mitotane",7004,"mitotane",7004,"mitotane"
"cortisone",2878,"cortisone",2878,"cortisone"
"triamcinolone",10759,"triamcinolone",10759,"triamcinolone"
"cosyntropin",2890,"cosyntropin",2890,"cosyntropin"
"somatropin",61148,"somatropin",61148,"somatropin"
"somatropin, mammalian derived",NA,NA,NA,NA
"haloperidol",5093,"haloperidol",5093,"haloperidol"
"aripiprazole",89013,"aripiprazole",89013,"aripiprazole"
"olanzapine",61381,"olanzapine",61381,"olanzapine"
"loxapine",6475,"loxapine",6475,"loxapine"
"olanzapine injection",NA,NA,NA,NA
"risperidone",35636,"risperidone",35636,"risperidone"
"citalopram",2556,"citalopram",2556,"citalopram"
"amitriptyline and perphenazine",NA,NA,282427,"amitriptyline / perphenazine"
"fluoxetine",4493,"fluoxetine",4493,"fluoxetine"
"propranolol",8787,"propranolol",8787,"propranolol"
"naltrexone",7243,"naltrexone",7243,"naltrexone"
"disulfiram",3554,"disulfiram",3554,"disulfiram"
"acamprosate",82819,"acamprosate",82819,"acamprosate"
"ondansetron",26225,"ondansetron",26225,"ondansetron"
"gabapentin",25480,"gabapentin",25480,"gabapentin"
"chlordiazepoxide",2356,"chlordiazepoxide",2356,"chlordiazepoxide"
"baclofen",1292,"baclofen",1292,"baclofen"
"diazepam",3322,"diazepam",3322,"diazepam"
"clonidine",2599,"clonidine",2599,"clonidine"
"atenolol",1202,"atenolol",1202,"atenolol"
"clorazepate",2353,"clorazepate",2353,"clorazepate"
"oxazepam",7781,"oxazepam",7781,"oxazepam"
"diazepam oral concentrate",NA,NA,NA,NA
"propylthiouracil",8794,"propylthiouracil",8794,"propylthiouracil"
"oxandrolone",7779,"oxandrolone",7779,"oxandrolone"
"gabapentin enacarbil",NA,NA,NA,NA
"ammonium chloride",712,"ammonium chloride",712,"ammonium chloride"
