,disease name,other names,RX/OTC,drug,generic name,drug class,brand names,pregnancy label,CSA label,cui_from_generic,cui_from_brand,cui_combined_gen_brand,rxnorms_from_CUI
0,abdominal distension prior to abdominal x ray,,rx,vasopressin,vasopressin,antidiuretic-hormones,vasostrict|pitressin,c,n,C0003779|C0201849,,C0003779|C0201849,
1,abdominal distension prior to abdominal x ray,,rx,vasostrict,vasopressin,antidiuretic-hormones,vasostrict,c,n,C0003779|C0201849,,C0003779|C0201849,
2,abdominal distension,abdominal bloating|bloating|meteorism,rx,bethanechol,bethanechol,miscellaneous-genitourinary-tract-agents,duvoid|urecholine,c,n,C0053526,,C0053526,caffeine/phenylpropanolamine
3,abdominal distension,abdominal bloating|bloating|meteorism,rx,urecholine,bethanechol,miscellaneous-genitourinary-tract-agents,duvoid|urecholine,c,n,C0053526,,C0053526,caffeine/phenylpropanolamine
4,abdominal distension,abdominal bloating|bloating|meteorism,rx,duvoid,bethanechol,miscellaneous-genitourinary-tract-agents,duvoid|urecholine,c,n,C0053526,,C0053526,caffeine/phenylpropanolamine
7,abdominal radiological procedure,abdominal radiological procedures,rx,vasopressin,vasopressin,antidiuretic-hormones,vasostrict|pitressin,c,n,C0003779|C0201849,,C0003779|C0201849,
8,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,medroxyprogesterone,medroxyprogesterone,contraceptives,,x,n,C0025147,C1272460|C1705112,C0025147|C1272460|C1705112,rifampin
9,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,mirena,,contraceptives,,x,n,C1272460|C1705112,C1272460|C1705112,C1272460|C1705112|C1272460|C1705112,
10,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,provera,medroxyprogesterone,contraceptives,provera,x,n,C0025147,C0699702,C0025147|C0699702,rifampin
11,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,norethindrone,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor|heather|jencycla|norlyroc|deblitane|sharobel|lyza|norlyda|tulana|incassia|nor-qd|heather|jencycla|norlyroc|deblitane|sharobel|lyza|norlyda|tulana|incassia,x,n,C0028356,,C0028356,praziquantel
12,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,depo-provera,medroxyprogesterone,contraceptives,,x,n,C0025147,C1272460|C1705112,C0025147|C1272460|C1705112,rifampin
13,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,megestrol,megestrol,hormones-antineoplastics,megace es|megace,x,n,C0025175,,C0025175,1.7 ml articaine hydrochloride 40 mg/ml/epinephrine 0.005 mg/ml cartridge
14,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,sprintec,ethinyl estradiol/norgestimate,contraceptives,estarylla|femynor|mono-linyah|mononessa|ortho tri-cyclen|previfem|sprintec|tri-lo-marzia|trinessa,x,n,C0717762,,C0717762,alfentanil injectable product
15,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx/otc,levonorgestrel,levonorgestrel emergency contraceptive,contraceptives,,x,n,,C1272460|C1705112,C1272460|C1705112,
16,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,aviane,ethinyl estradiol/levonorgestrel,contraceptives,,x,n,C0717761,C1272460|C1705112,C0717761|C1272460|C1705112,hydroxocobalamin
17,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,aygestin,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n,C0028356,,C0028356,praziquantel
18,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,ethinyl estradiol|levonorgestrel,ethinyl estradiol/levonorgestrel,contraceptives,amethyst|aviane|balcoltra|falmina|levlen|lillow|orsythia|vienva,x,n,C0717761,,C0717761,hydroxocobalamin
19,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,premarin,conjugated estrogens,estrogens,,x,n,C0014938,C1272460|C1705112,C0014938|C1272460|C1705112,
20,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,seasonique,ethinyl estradiol/levonorgestrel,contraceptives,,x,n,C0717761,C1272460|C1705112,C0717761|C1272460|C1705112,hydroxocobalamin
21,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,jolivette,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n,C0028356,,C0028356,praziquantel
22,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,camila,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n,C0028356,,C0028356,praziquantel
23,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,ethinyl estradiol|norgestimate,ethinyl estradiol/norgestimate,contraceptives,estarylla|femynor|mono-linyah|mononessa|ortho tri-cyclen|previfem|sprintec|tri-lo-marzia|trinessa|ortho tri-cyclen lo|tri-sprintec|tri-previfem|mili|tri-lo-sprintec|tri-linyah|tri-estarylla|trinessa lo|tri-lo-estarylla|tri femynor|vylibra|tri-vylibra|tri-mili|tri-vylibra lo|tri-lo-mili|ortho-cyclen|ortho tri-cyclen lo|tri-sprintec|tri-previfem|mili|tri-lo-sprintec|tri-linyah|tri-estarylla|trinessa lo|tri-lo-estarylla|tri femynor|vylibra|tri-vylibra|tri-mili|tri-vylibra lo|tri-lo-mili,x,n,C0717762,,C0717762,alfentanil injectable product
24,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,heather,norethindrone,contraceptives,camila|deblitane|errin|heather|jencycla|lyza|nor-qd|nora-be|norlyroc|ortho micronor|sharobel|jolivette|lyza|nor-qd|nora-be|norlyroc|ortho micronor|sharobel,x,n,C0028356,,C0028356,praziquantel
25,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,nora-be,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n,C0028356,,C0028356,praziquantel
26,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,ortho micronor,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n,C0028356,,C0028356,praziquantel
27,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,cryselle,ethinyl estradiol/norgestrel,contraceptives,cryselle 28|low-ogestrel|ogestrel-28,x,n,C0717763,,C0717763,benzenesulfonic acid topical solution
28,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,depo-provera contraceptive,medroxyprogesterone,contraceptives,depo-provera|depo-provera contraceptive|depo-subq provera 104,x,n,C0025147,,C0025147,rifampin
29,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,errin,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n,C0028356,,C0028356,praziquantel
30,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,ethinyl estradiol|norethindrone,ethinyl estradiol/norethindrone,contraceptives,femhrt 0.5 mg/2.5 mcg|fyavolv|jevantique lo|jinteli,x,n,C1260235,,C1260235,glucose
31,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,lutera,,contraceptives,,x,n,C1272460|C1705112,C1272460|C1705112,C1272460|C1705112|C1272460|C1705112,
32,abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,deblitane,norethindrone,contraceptives,camila|deblitane|errin|heather|jencycla|lyza|nor-qd|nora-be|norlyroc|ortho micronor|sharobel|jolivette|lyza|nor-qd|nora-be|norlyroc|ortho micronor|sharobel,x,n,C0028356,,C0028356,praziquantel
33,abortion,complete abortion,rx,misoprostol,misoprostol,miscellaneous-gi-agents,cytotec,x,n,C0085174,C0591321,C0085174|C0591321,thiocolchicoside
34,abortion,complete abortion,rx,cytotec,misoprostol,miscellaneous-gi-agents,cytotec,x,n,C0085174,C0591321,C0085174|C0591321,thiocolchicoside
35,abortion,complete abortion,rx,mifepristone,mifepristone,progesterone-receptor-modulators,korlym,x,n,C0026088,C3265681,C0026088|C3265681,chlorpheniramine maleate 8 mg/methscopolamine bromide 2.5 mg/pseudoephedrine hydrochloride 120 mg extended release oral tablet
36,abortion,complete abortion,rx,oxytocin,oxytocin,uterotonic-agents,pitocin|syntocinon,x,n,C1418208|C1704206,,C1418208|C1704206,
37,abortion,complete abortion,rx,pitocin,oxytocin,uterotonic-agents,pitocin,x,n,C1418208|C1704206,C0733348,C1418208|C1704206|C0733348,
38,abortion,complete abortion,rx,mifeprex,mifepristone,progesterone-receptor-modulators,mifeprex,x,n,C0026088,C0939382,C0026088|C0939382,chlorpheniramine maleate 8 mg/methscopolamine bromide 2.5 mg/pseudoephedrine hydrochloride 120 mg extended release oral tablet
39,abortion,complete abortion,rx,hemabate,carboprost,uterotonic-agents,hemabate,c,n,C0007047,C0121295,C0007047|C0121295,vitamin e
40,abortion,complete abortion,rx,carboprost,carboprost,uterotonic-agents,hemabate,c,n,C0007047,C0121295,C0007047|C0121295,vitamin e
41,abortion,complete abortion,rx,cervidil,dinoprostone topical,uterotonic-agents,cervidil|prepidil|prostin e2,c,n,C0717709,,C0717709,
42,abortion,complete abortion,rx,prostin e2,dinoprostone topical,uterotonic-agents,cervidil|prepidil|prostin e2,c,n,C0717709,,C0717709,
43,abortion,complete abortion,rx,dinoprostone,dinoprostone topical,uterotonic-agents,cervidil|prepidil|prostin e2,c,n,C0717709,,C0717709,
44,abortion,complete abortion,rx,prepidil,dinoprostone topical,uterotonic-agents,cervidil|prepidil|prostin e2,c,n,C0717709,,C0717709,
45,acetaminophen overdose,acetaminophen toxicity,rx/otc,acetylcysteine,acetylcysteine,antidotes,nac|n-a-c sustain,b,n,C0001047,,C0001047,bacitracin
46,acetaminophen overdose,acetaminophen toxicity,rx,acetadote,,antidotes,,b,n,C1272460|C1705112,C1272460|C1705112,C1272460|C1705112|C1272460|C1705112,
47,acidosis,acidosislactic|acidosisrespiratory,rx/otc,sodium bicarbonate,sodium bicarbonate,antacids,neut,c,n,C0074722,C0027944|C0722071,C0074722|C0027944|C0722071,bromhexine
48,acne rosacea,acne rosacea,rx,doxycycline,doxycycline,miscellaneous-antimalarials,,d,n,C0013090,C1272460|C1705112,C0013090|C1272460|C1705112,isoetharine
49,acne rosacea,acne rosacea,rx,metronidazole,metronidazole topical,topical-anti-rosacea-agents,metrocream|metrogel|metrogel pump|metrolotion|noritate|rosadan,b,n,C0360349,,C0360349,
50,acne rosacea,acne rosacea,rx,metrogel,metronidazole topical,topical-anti-rosacea-agents,metrocream|metrogel|metrogel pump|metrolotion|noritate|rosadan,b,n,C0360349,,C0360349,
51,acne rosacea,acne rosacea,rx,finacea,azelaic acid topical,topical-acne-agents,,b,n,C0717460,C1272460|C1705112,C0717460|C1272460|C1705112,
52,acne rosacea,acne rosacea,rx,oracea,doxycycline,miscellaneous-antimalarials,,d,n,C0013090,C1272460|C1705112,C0013090|C1272460|C1705112,isoetharine
53,acne rosacea,acne rosacea,rx,minocycline,minocycline,tetracyclines,,d,n,C0026187,C1272460|C1705112,C0026187|C1272460|C1705112,brovanexine
54,acne rosacea,acne rosacea,rx,soolantra,,topical-anti-infectives,,c,n,C1272460|C1705112,C1272460|C1705112,C1272460|C1705112|C1272460|C1705112,
55,acne rosacea,acne rosacea,rx,doryx,doxycycline delayed-release tablets,miscellaneous-antimalarials,doryx,d,n,,C0720025,C0720025,
56,acne rosacea,acne rosacea,rx,metrocream,metronidazole topical,topical-anti-rosacea-agents,metrocream|metrogel|metrogel pump|metrolotion|noritate|rosadan,b,n,C0360349,,C0360349,
57,acne rosacea,acne rosacea,rx,mirvaso,brimonidine topical,topical-anti-rosacea-agents,,b,n,,C1272460|C1705112,C1272460|C1705112,
58,acne rosacea,acne rosacea,rx,azelex,azelaic acid topical,topical-acne-agents,azelex|finacea|finacea plus,b,n,C0717460,,C0717460,
59,acne rosacea,acne rosacea,rx,azelaic acid,azelaic acid topical,topical-acne-agents,azelex|finacea|finacea plus|finevin,b,n,C0717460,,C0717460,
60,acne rosacea,acne rosacea,rx,doxy 100,doxycycline injection,miscellaneous-antimalarials,doxy 100,d,n,,C0876019,C0876019,
61,acne rosacea,acne rosacea,rx,solodyn,minocycline,tetracyclines,,d,n,C0026187,C1272460|C1705112,C0026187|C1272460|C1705112,brovanexine
62,acne rosacea,acne rosacea,rx,monodox,doxycycline tablets/capsules,miscellaneous-antimalarials,acticlate|adox pak 2/100|adoxa|adoxa pak 1/100|adoxa pak 1/150|monodox|morgidox|oraxyl|targadox|vibramycin|avidoxy|monodox|morgidox|oraxyl|targadox|vibramycin,d,n,,,,
63,acne rosacea,acne rosacea,rx,noritate,metronidazole topical,topical-anti-rosacea-agents,metrocream|metrogel|metrogel pump|metrolotion|noritate|rosadan,b,n,C0360349,,C0360349,
64,acne rosacea,acne rosacea,rx,sulfacetamide sodium|sulfur,sulfacetamide sodium/sulfur topical,topical-antibiotics,avar|bp 10-wash|clarifoam ef|garimide|plexion|prascion cleanser|rosanil cleanser|rosula|sulfacleans 8/4|sumadan|sumaxin|suphera|virti-sulf|zencia wash|sulfacet-r|zetacet|plexion cleanser|plexion ts|rosula cleanser|nicosyn|avar cleanser|clenia foaming wash|clenia emollient cream|avar gel|avar green|rosac|avar-e emollient|avar-e green|rosaderm cleanser|zetacet wash|plexion sct|plexion cleansing cloths|sulfatol|sulfatol cleanser|prascion fc cloths|prascion ra|rosula clarifying wash|prascion|rosac wash|topisulf|sulfatol c|sulzee wash|sulfatol ss|sumaxin wash|avar ls cleanser|avar-e ls|se 10-5 ss|avar-e|sumaxin ts|sumadan wash|sumaxin cp|avar ls|sumadan xlt|rosula wash|novacet|sulfacet-r|zetacet|plexion cleanser|plexion ts|rosula cleanser|nicosyn|avar cleanser|clenia foaming wash|clenia emollient cream|avar gel|avar green|rosac|avar-e emollient|avar-e green|rosaderm cleanser|zetacet wash|plexion sct|plexion cleansing cloths|sulfatol (obsolete)|sulfatol cleanser (obsolete)|prascion fc cloths|prascion ra|rosula clarifying wash (obsolete)|prascion|rosac wash|topisulf|sulfatol c|sulzee wash|sulfatol ss|sumaxin wash|avar ls cleanser|avar-e ls|se 10-5 ss|avar-e|sumaxin ts|sumadan wash|sumaxin cp|avar ls|sumadan xlt|rosula wash,c,n,,,,
65,acne rosacea,acne rosacea,rx,minocin,minocycline,tetracyclines,dynacin|minocin|minocin pac|solodyn|ximino,d,n,C0026187,,C0026187,brovanexine
66,acne rosacea,acne rosacea,rx,isotretinoin,isotretinoin,miscellaneous-antineoplastics,absorica|amnesteem|claravis|myorisan|sotret|zenatane|accutane|absorica ld,x,n,C0022265,,C0022265,apomorphine
67,acne rosacea,acne rosacea,rx,ivermectin,ivermectin cream,topical-anti-infectives,soolantra,c,n,,,,
68,acne rosacea,acne rosacea,rx,metrolotion,metronidazole topical,topical-anti-rosacea-agents,metrocream|metrogel|metrogel pump|metrolotion|noritate|rosadan,b,n,C0360349,,C0360349,
69,acne rosacea,acne rosacea,rx,vibramycin,doxycycline suspension,miscellaneous-antimalarials,vibramycin,d,n,,C0699957,C0699957,
70,acne rosacea,acne rosacea,rx,brimonidine,brimonidine topical,topical-anti-rosacea-agents,mirvaso|mirvaso pump,b,n,,,,
71,acne rosacea,acne rosacea,rx,doryx mpc,doxycycline,,,d,n,C0013090,C1272460|C1705112,C0013090|C1272460|C1705112,isoetharine
72,acne rosacea,acne rosacea,rx,morgidox,doxycycline tablets/capsules,miscellaneous-antimalarials,acticlate|adox pak 2/100|adoxa|adoxa pak 1/100|adoxa pak 1/150|monodox|morgidox|oraxyl|targadox|vibramycin|avidoxy|monodox|morgidox|oraxyl|targadox|vibramycin,d,n,,,,
73,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,doxycycline,doxycycline,miscellaneous-antimalarials,,d,n,C0013090,C1272460|C1705112,C0013090|C1272460|C1705112,isoetharine
74,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,spironolactone,spironolactone,aldosterone-receptor-antagonists,,c,n,C0037982,C1272460|C1705112,C0037982|C1272460|C1705112,european rabbit skin extract 1 mg/ml
75,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,minocycline,minocycline,tetracyclines,,d,n,C0026187,C1272460|C1705112,C0026187|C1272460|C1705112,brovanexine
76,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,aldactone,spironolactone,aldosterone-receptor-antagonists,,c,n,C0037982,C1272460|C1705112,C0037982|C1272460|C1705112,european rabbit skin extract 1 mg/ml
77,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,clindamycin,clindamycin topical,topical-acne-agents,cleocin t|clindacin etz|clindacin p|clindagel|evoclin,b,n,C0360339,,C0360339,
78,acne,acne vulgaris|blackheads|breakouts|cystic acne|pimples|whiteheads|zits,rx,tretinoin,tretinoin topical,topical-acne-agents,altreno|atralin|avita|refissa|renova|retin-a|tretinoin emollient topical,c,n,C0718097,,C0718097,
