disease name,other names,RX/OTC,drug,generic name,drug class,brand names,pregnancy label,CSA label
abdominal distension prior to abdominal x ray,,rx,vasopressin,vasopressin,antidiuretic-hormones,vasostrict|pitressin,c,n
abdominal distension prior to abdominal x ray,,rx,vasostrict,vasopressin,antidiuretic-hormones,vasostrict,c,n
abdominal distension,abdominal bloating|bloating|meteorism,rx,bethanechol,bethanechol,miscellaneous-genitourinary-tract-agents,duvoid|urecholine,c,n
abdominal distension,abdominal bloating|bloating|meteorism,rx,urecholine,bethanechol,miscellaneous-genitourinary-tract-agents,duvoid|urecholine,c,n
abdominal distension,abdominal bloating|bloating|meteorism,rx,duvoid,bethanechol,miscellaneous-genitourinary-tract-agents,duvoid|urecholine,c,n
abdominal distension,abdominal bloating|bloating|meteorism,otc,pamabrom,pamabrom,miscellaneous-diuretics,aqua-ban|diurex aquagels|diurex water capsules|aqua-ban with pamabrom,n,n
abdominal distension,abdominal bloating|bloating|meteorism,otc,aqua-ban,pamabrom,miscellaneous-diuretics,aqua-ban|diurex aquagels|diurex water capsules,n,n
abdominal radiological procedure,abdominal radiological procedures,rx,vasopressin,vasopressin,antidiuretic-hormones,vasostrict|pitressin,c,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,medroxyprogesterone,medroxyprogesterone,contraceptives,,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,mirena,,contraceptives,,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,provera,medroxyprogesterone,contraceptives,provera,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,norethindrone,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor|heather|jencycla|norlyroc|deblitane|sharobel|lyza|norlyda|tulana|incassia|nor-qd|heather|jencycla|norlyroc|deblitane|sharobel|lyza|norlyda|tulana|incassia,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,depo-provera,medroxyprogesterone,contraceptives,,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,megestrol,megestrol,hormones-antineoplastics,megace es|megace,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,sprintec,ethinyl estradiol/norgestimate,contraceptives,estarylla|femynor|mono-linyah|mononessa|ortho tri-cyclen|previfem|sprintec|tri-lo-marzia|trinessa,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx/otc,levonorgestrel,levonorgestrel emergency contraceptive,contraceptives,,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,aviane,ethinyl estradiol/levonorgestrel,contraceptives,,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,aygestin,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,ethinyl estradiol|levonorgestrel,ethinyl estradiol/levonorgestrel,contraceptives,amethyst|aviane|balcoltra|falmina|levlen|lillow|orsythia|vienva,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,premarin,conjugated estrogens,estrogens,,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,seasonique,ethinyl estradiol/levonorgestrel,contraceptives,,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,jolivette,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,camila,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,ethinyl estradiol|norgestimate,ethinyl estradiol/norgestimate,contraceptives,estarylla|femynor|mono-linyah|mononessa|ortho tri-cyclen|previfem|sprintec|tri-lo-marzia|trinessa|ortho tri-cyclen lo|tri-sprintec|tri-previfem|mili|tri-lo-sprintec|tri-linyah|tri-estarylla|trinessa lo|tri-lo-estarylla|tri femynor|vylibra|tri-vylibra|tri-mili|tri-vylibra lo|tri-lo-mili|ortho-cyclen|ortho tri-cyclen lo|tri-sprintec|tri-previfem|mili|tri-lo-sprintec|tri-linyah|tri-estarylla|trinessa lo|tri-lo-estarylla|tri femynor|vylibra|tri-vylibra|tri-mili|tri-vylibra lo|tri-lo-mili,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,heather,norethindrone,contraceptives,camila|deblitane|errin|heather|jencycla|lyza|nor-qd|nora-be|norlyroc|ortho micronor|sharobel|jolivette|lyza|nor-qd|nora-be|norlyroc|ortho micronor|sharobel,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,nora-be,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,ortho micronor,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,cryselle,ethinyl estradiol/norgestrel,contraceptives,cryselle 28|low-ogestrel|ogestrel-28,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,depo-provera contraceptive,medroxyprogesterone,contraceptives,depo-provera|depo-provera contraceptive|depo-subq provera 104,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,errin,norethindrone,contraceptives,aygestin|camila|errin|jolivette|nora-be|ortho micronor,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,ethinyl estradiol|norethindrone,ethinyl estradiol/norethindrone,contraceptives,femhrt 0.5 mg/2.5 mcg|fyavolv|jevantique lo|jinteli,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,lutera,,contraceptives,,x,n
abnormal uterine bleeding,bleedingdysfunctional uterine|dub|dysfunctional uterine bleeding,rx,deblitane,norethindrone,contraceptives,camila|deblitane|errin|heather|jencycla|lyza|nor-qd|nora-be|norlyroc|ortho micronor|sharobel|jolivette|lyza|nor-qd|nora-be|norlyroc|ortho micronor|sharobel,x,n
abortion,complete abortion,rx,misoprostol,misoprostol,miscellaneous-gi-agents,cytotec,x,n
abortion,complete abortion,rx,cytotec,misoprostol,miscellaneous-gi-agents,cytotec,x,n
abortion,complete abortion,rx,mifepristone,mifepristone,progesterone-receptor-modulators,korlym,x,n
abortion,complete abortion,rx,oxytocin,oxytocin,uterotonic-agents,pitocin|syntocinon,x,n
abortion,complete abortion,rx,pitocin,oxytocin,uterotonic-agents,pitocin,x,n
abortion,complete abortion,rx,mifeprex,mifepristone,progesterone-receptor-modulators,mifeprex,x,n
abortion,complete abortion,rx,hemabate,carboprost,uterotonic-agents,hemabate,c,n
abortion,complete abortion,rx,carboprost,carboprost,uterotonic-agents,hemabate,c,n
abortion,complete abortion,rx,cervidil,dinoprostone topical,uterotonic-agents,cervidil|prepidil|prostin e2,c,n
abortion,complete abortion,rx,prostin e2,dinoprostone topical,uterotonic-agents,cervidil|prepidil|prostin e2,c,n
