_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,human_relation,human_relation:confidence,human_relation_type,human_relation_type:confidence,documentid,gold,human_relation_gold,human_relation_gold_reason,human_relation_type_gold,human_relation_type_gold_reason,text
711477194,TRUE,golden,94,,Personal experience,1,Is prescibed for,0.8074,t1,TRUE,1,Author tells about his/her personal experience.,2,"Person tells that he/she takes drug, BUT there is no explicit mention that the drug helps.","I am also taking cough medicine and some <font color=""blue"">acetaminophen</font> to deal with the <font color=""red"">fever</font> and headache I get."
711477195,TRUE,golden,99,,Impersonal experience,0.9609,Caused side effect,1,t1,TRUE,3,,1,acetaminophen can cause sweating,"Medicines taken to lower fever, such as aspirin and <font color=""blue"">acetaminophen</font>, can sometimes lead to <font color=""red"">sweating</font>."
711477196,TRUE,golden,92,,Personal experience,1,Is prescibed for,0.6926,t3,TRUE,1,Author tells about his/her personal experience.,2,"Person tells that he/she takes drug, BUT there is no explicit mention that the drug helps.","<font color=""blue"">Acetaminophen</font> has a suppository version, which I use when I have a <font color=""red"">fever</font>."
711477197,TRUE,golden,90,,Personal experience,1,Was effective against,0.9651,t4,TRUE,1,The author explicitly relates to an event s/he experienced personally.,3,The autor explicitly states the drug was effective.,"I went back to the <font color=""blue"">Nexium</font> and stopped <font color=""red"">coughing</font>."
711477198,TRUE,golden,89,,Personal experience,1,Is prescibed for,0.5001,t5,TRUE,1,The author relates to an event s/he personally experienced.,2,"There is an overt statement of drug administration, but no overt statement of the drug being effective.","I used to get alot of <font color=""red"">headaches</font> and would take lots of <font color=""blue"">advil</font> daily (not overdosing) but regular dosing."
711477199,TRUE,golden,87,,Impersonal experience negated,0.9273,Caused side effect,0.9267,t6,TRUE,4,There is no explicit statement that the author experienced the event personally.,1,There is an explicit negation of side-effect being caused.,"For example, <font color=""blue"">Yasmin</font> does not cause <font color=""red"">weight gain</font> in many people."
711477200,TRUE,golden,88,,Question,0.8023,Caused side effect,1,t7,TRUE,5,The author makes an inquiry.,1,The author asks whether the specified drug can cause the specified side-effect.,"Someone mentioned that <font color=""blue"">accutane</font> causes <font color=""red"">hair loss</font>?"
711477201,TRUE,golden,88,,Personal experience negated,0.8056,Caused side effect,0.8461,t8,TRUE,2,The author explicitly relates to an event s/he experienced personally.,1,The author explicitly states NOT experiencing any side-effect.,"This is my second time on <font color=""blue"">accutane</font> and i have not experienced any <font color=""red"">hair loss</font>."
711477202,TRUE,golden,95,,Personal experience,0.9608,Was effective against,0.9608,t9,TRUE,1,The author explicitly relates to an event s/he personally experienced.,3,The author explicitly states the drug was  effective.,"The <font color=""red"">headache</font>'s have slowed down from the <font color=""blue"">amitriptyline</font>, 25mg."
711477203,TRUE,golden,89,,Personal experience negated,0.6388,Caused side effect,0.6012,t10,TRUE,1,Following instructions if type of relation 'OTHER' was chosen it's necessary to choose 'PERSONAL EXPERIENCE' as relation,0,None of the relations in the list applies.,"My <font color=""red"">hair loss</font> is unrelated to the <font color=""blue"">accutane</font> and started before i began my course."
711477204,TRUE,golden,101,,Personal experience,0.8473,Caused side effect,1,t11,TRUE,1,The author relates to an event s/he personally experienced.,1,The author explicitly states experiencing a side-effect.,"<font color=""blue"">Lisinopril</font> also caused a horrible <font color=""red"">cough</font>."
711477205,TRUE,golden,91,,Impersonal experience,0.5371,Caused side effect,0.9633,t12,TRUE,3,There is no explicit statement that the event was personally experienced by the author.,1,The author expresses awareness of weight gain being a known side-effect of zoloft.,"My main concern is <font color=""red"">weight gain</font> with <font color=""blue"">zoloft</font>."
711477206,TRUE,golden,97,,Personal experience,1,Was effective against,0.9576,t13,TRUE,1,The author explicitly relates to an event s/he experienced personally.,3,The author explicitly states that the drug was effective.,"I only purchased the <font color=""blue"">Advair</font> and it did help with the <font color=""red"">cough</font>."
711477207,TRUE,golden,96,,Personal experience,1,Caused side effect,1,t14,TRUE,1,Author describes his negative experience with the drug.,1,Taking the drug caused side effect.,"After three - four months I went off the <font color=""blue"">Zoloft</font> because of <font color=""red"">weight gain</font>."
711477208,TRUE,golden,87,,Question,0.9602,Caused side effect,1,t15,TRUE,5,Person asks about possible relation between drug and symptom.,1,Person asks if taking drug could lead to side effect.,"Did you have any <font color=""red"">weight gain</font> from <font color=""blue"">zoloft</font>?"
711477209,TRUE,golden,95,,Personal experience,1,Caused side effect,0.9602,t16,TRUE,1,The author explicitly relates to an event s/he personally experienced.,1,The author explicitly states experiencing a side-effect.,"Tryed <font color=""blue"">Cymbalta</font> and after 2 weeks could not take it due to <font color=""red"">headaches</font>."
