LOINC,va_path,phs_path
10374-7,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP14570-3.LP393413-2
10378-8,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0.LP14574-5.LP393447-0
10380-4,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP14576-0.LP393430-6
10381-2,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP14577-8.LP393431-4
10381-2,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP14577-8.LP393431-4
10535-3,LP29693-6.LP7791-9.LP31424-2.LP31498-6,LP29693-6.LP7790-1.LP18046-0.LP31424-2.LP31498-6.LP14714-7.LP389307-2
10998-3,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4.LP390102-4
11158-3,LP29693-6.LP7846-1,LP29693-6.LP7846-1.LP14542-2.LP404151-5
11253-2,LP29693-6.LP7791-9.LP31454-9,LP29693-6.LP7790-1.LP18046-0.LP31454-9.LP15182-6.LP390596-7
11274-8,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP15192-5.LP393408-2
11555-0,LP29693-6.LP343631-0.LP7786-9.LP31400-2,LP29693-6.LP343631-0.LP7786-9.LP31400-2.LP15429-1.LP383304-5
11556-8,LP7787-7.LP7840-4,LP29693-6.LP343631-0.LP7786-9.LP31400-2.LP14536-4.LP383360-7
11558-4,LP29693-6.LP7851-1.LP40317-7,LP29693-6.LP343631-0.LP7786-9.LP31400-2.LP14752-7.LP383431-6
12382-8,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP15014-1,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP15014-1.LP14551-3.LP391748-3
13327-2,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8.LP18337-3.LP39276-8.LP378823-1
13440-3,LP7787-7.LP248771-0,LP29693-6.LP343631-0.LP7786-9.LP31418-4.LP21032-5.LP386676-3
13964-2,LP29693-6.LP343631-0.LP7786-9.LP31395-4,LP29693-6.LP343631-0.LP7786-9.LP31395-4.LP15735-1.LP385117-9
13965-9,LP29693-6.LP343631-0.LP7786-9.LP31415-0,LP29693-6.LP343631-0.LP7786-9.LP31415-0.LP14977-0.LP386295-2
14334-7,LP29693-6.LP7791-9.LP31449-9.LP31474-7,LP29693-6.LP7790-1.LP18046-0.LP31449-9.LP31474-7.LP16175-9.LP390984-5
15061-5,LP29693-6.LP343631-0.LP7786-9.LP15838-3,LP29693-6.LP343631-0.LP7786-9.LP15838-3.LP15554-6.LP384569-2
15069-8,LP29693-6.LP343631-0.LP7786-9.LP31399-6,LP29693-6.LP343631-0.LP7786-9.LP31399-6.LP15578-5.LP385500-6
16196-8,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15174-3.LP390032-3
16197-6,LP29693-6.LP7756-2.LP30682-6,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP16093-4.LP389854-3
16201-6,LP29693-6.LP7791-9.LP30812-9,LP29693-6.LP7790-1.LP18046-0.LP30812-9.LP16227-8.LP391878-8
